id,Instruction_FR,SentenceWithBlank,CompleteSentence,Option1,Option1_EN,Option2,Option2_EN,Option3,Option3_EN,Option4,Option4_EN,CorrectAnswer,Level
1,Remplissez le formulaire,Je m'appelle _____ et je suis _____.,Je m'appelle Jean et je suis étudiant.,Jean,Jean,étudiant,student,Pierre,Pierre,professeur,teacher,Jean,A1
2,Complétez le formulaire,Mon numéro de téléphone est _____ .,Mon numéro de téléphone est 06 12 34 56 78.,06 12 34 56 78,06 12 34 56 78,01 23 45 67 89,01 23 45 67 89,07 89 10 11 12,07 89 10 11 12,09 87 65 43 21,09 87 65 43 21,06 12 34 56 78,A1
3,Sélectionnez le détail correct,J'habite à _____ en _____.,J'habite à Paris en France.,Paris,Paris,France,France,Lyon,Lyon,Espagne,Spain,Paris,A1
4,Remplissez le blanc,Ma date de naissance est le _____.,Ma date de naissance est le 15 mars 1995.,15 mars 1995,March 15th 1995,20 juin 2000,June 20th 2000,1er janvier 1990,January 1st 1990,5 décembre 1988,December 5th 1988,15 mars 1995,A1
5,Complétez l'inscription,Mon adresse e-mail est _____.,Mon adresse e-mail est jean.dupont@email.fr.,jean.dupont@email.fr,jean.dupont@email.fr,marie@gmail.com,marie@gmail.com,paul.martin@yahoo.fr,paul.martin@yahoo.fr,sophie@hotmail.com,sophie@hotmail.com,jean.dupont@email.fr,A1
6,Remplissez le blanc,Je suis de nationalité _____.,Je suis de nationalité française.,française,French,espagnole,Spanish,italienne,Italian,allemande,German,française,A1
7,Sélectionnez la bonne réponse,Mon état civil est _____.,Mon état civil est célibataire.,célibataire,single,marié(e),married,divorcé(e),divorced,veuf/veuve,widowed,célibataire,A2
8,Complétez le formulaire,Ma profession est _____.,Ma profession est ingénieur.,ingénieur,engineer,médecin,doctor,avocat,lawyer,enseignant,teacher,ingénieur,A2
9,Remplissez le blanc,Le motif de ma visite est _____.,Le motif de ma visite est le tourisme.,le tourisme,tourism,les affaires,business,les études,studies,la famille,family,le tourisme,B1
10,Complétez la demande,Ma langue maternelle est _____.,Ma langue maternelle est le français.,le français,French,l'anglais,English,l'espagnol,Spanish,l'arabe,Arabic,le français,A2
