"ExerciseID","Question Type","Exercise Tag","Level","Difficulty","TimeLimitSeconds","Instruction_EN","Instruction_FR","Complete Sentence_EN","Complete Sentence_FR","Correct answer_FR","Correct answer_EN"
"TT001","translate_typed","Tag_Daily_Life","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","The cat sits on the mat.","Le chat est assis sur le tapis.","Le chat est assis sur le tapis.","The cat sits on the mat."
"TT002","translate_typed","Tag_Food","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","She buys bread at the bakery every morning.","Elle achete du pain a la boulangerie chaque matin.","Elle achete du pain a la boulangerie chaque matin.","She buys bread at the bakery every morning."
"TT003","translate_typed","Tag_Travel","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","We take the train to Paris every weekend.","Nous prenons le train pour Paris chaque week-end.","Nous prenons le train pour Paris chaque week-end.","We take the train to Paris every weekend."
"TT004","translate_typed","Tag_Work","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","My colleague sent an important email this morning.","Mon collegue a envoye un email important ce matin.","Mon collegue a envoye un email important ce matin.","My colleague sent an important email this morning."
"TT005","translate_typed","Tag_School","B1","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","Students who study regularly achieve better results.","Les etudiants qui etudient regulierement obtiennent de meilleurs resultats.","Les etudiants qui etudient regulierement obtiennent de meilleurs resultats.","Students who study regularly achieve better results."
"TT006","translate_typed","Tag_Daily_Life","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","He walks to school with his sister every day.","Il marche jusqu a l ecole avec sa soeur chaque jour.","Il marche jusqu a l ecole avec sa soeur chaque jour.","He walks to school with his sister every day."
"TT007","translate_typed","Tag_Family","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","My mother cooks dinner every evening.","Ma mere prepare le diner chaque soir.","Ma mere prepare le diner chaque soir.","My mother cooks dinner every evening."
"TT008","translate_typed","Tag_Food","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","I drink coffee in the morning.","Je bois du cafe le matin.","Je bois du cafe le matin.","I drink coffee in the morning."
"TT009","translate_typed","Tag_Daily_Life","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","The children play in the park.","Les enfants jouent dans le parc.","Les enfants jouent dans le parc.","The children play in the park."
"TT010","translate_typed","Tag_Family","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","My father reads the newspaper every Sunday.","Mon pere lit le journal chaque dimanche.","Mon pere lit le journal chaque dimanche.","My father reads the newspaper every Sunday."
"TT011","translate_typed","Tag_Food","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","We eat dinner at seven oclock.","Nous dinons a sept heures.","Nous dinons a sept heures.","We eat dinner at seven oclock."
"TT012","translate_typed","Tag_Travel","A1","Easy","60","Translate the sentence into French","Traduisez la phrase en francais","The bus arrives at the station.","Le bus arrive a la gare.","Le bus arrive a la gare.","The bus arrives at the station."
"TT013","translate_typed","Tag_Daily_Life","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","She is looking for her keys in her bag.","Elle cherche ses cles dans son sac.","Elle cherche ses cles dans son sac.","She is looking for her keys in her bag."
"TT014","translate_typed","Tag_Work","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The meeting starts at nine in the morning.","La reunion commence a neuf heures du matin.","La reunion commence a neuf heures du matin.","The meeting starts at nine in the morning."
"TT015","translate_typed","Tag_School","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","The teacher explains the lesson to the students.","Le professeur explique la lecon aux eleves.","Le professeur explique la lecon aux eleves.","The teacher explains the lesson to the students."
"TT016","translate_typed","Tag_Sports","A2","Medium","60","Translate the sentence into French","Traduisez la phrase en francais","He plays football with his friends on Saturdays.","Il joue au football avec ses amis le samedi.","Il joue au football avec ses amis le samedi.","He plays football with his friends on Saturdays."
