ExerciseID,Instruction_EN,Instruction_FR,Level,LearningLang,KnownLang,title_en,title_fr,passage_en,passage_fr,question_en,question_fr,answers_fr,answers_en,distractors_fr,distractors_en,questions_json,timeLimitSeconds,difficulty,exercise_tag
DIL001,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""message"", ""dépense"", ""client"", ""doute"", ""journée"", ""contrôle""]","[""message"", ""expense"", ""client"", ""doubt"", ""day"", ""control""]","[""voiture"", ""maison""]","[""car"", ""house""]","[{""id"": 1, ""correct_fr"": ""message"", ""correct_en"": ""message""}, {""id"": 2, ""correct_fr"": ""dépense"", ""correct_en"": ""expense""}, {""id"": 3, ""correct_fr"": ""client"", ""correct_en"": ""client""}, {""id"": 4, ""correct_fr"": ""doute"", ""correct_en"": ""doubt""}, {""id"": 5, ""correct_fr"": ""journée"", ""correct_en"": ""day""}, {""id"": 6, ""correct_fr"": ""contrôle"", ""correct_en"": ""control""}]",120,Easy,Banking essentials
DIL002,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""départ"", ""chambre"", ""bagages"", ""séjour"", ""attente"", ""rythme""]","[""departure"", ""room"", ""luggage"", ""stay"", ""wait"", ""rhythm""]","[""stylo"", ""table""]","[""pen"", ""table""]","[{""id"": 1, ""correct_fr"": ""départ"", ""correct_en"": ""departure""}, {""id"": 2, ""correct_fr"": ""chambre"", ""correct_en"": ""room""}, {""id"": 3, ""correct_fr"": ""bagages"", ""correct_en"": ""luggage""}, {""id"": 4, ""correct_fr"": ""séjour"", ""correct_en"": ""stay""}, {""id"": 5, ""correct_fr"": ""attente"", ""correct_en"": ""wait""}, {""id"": 6, ""correct_fr"": ""rythme"", ""correct_en"": ""rhythm""}]",120,Medium,Hotel Essentials
DIL003,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Online booking / Online reservation,Réservation en ligne,"Reserving a book online may seem discreet, but it changes the way people use a library a great deal. When a title is already borrowed, the reader no longer needs to come back several times to check whether the copy is finally available. The system gives the reader a place in the wait and replaces uncertainty with more stable information. This visibility matters more than people imagine, especially when the book is needed for homework or a specific assignment. The service does not make the document return faster, but it avoids unnecessary trips and disappointing visits. On the other hand, if the reader forgets to confirm or to come on time, the process becomes more complicated for the other people registered after them. That is why the displayed deadlines deserve careful reading. A well-managed reservation does not make the library perfect, yet it makes it more predictable and more pleasant to use.","La réservation en ligne d’un livre paraît discrète, mais elle change beaucoup la manière d’utiliser une bibliothèque. Lorsqu’un titre est déjà emprunté, le lecteur n’a plus besoin de revenir plusieurs fois pour vérifier si l’exemplaire est enfin disponible. Le système lui donne une place dans l’attente et remplace l’incertitude par une information plus stable. Cette visibilité compte davantage qu’on ne l’imagine, surtout quand le livre est nécessaire pour un devoir ou un travail précis. Le service n’accélère pas le retour du document, mais il évite des déplacements inutiles et des visites décevantes. En revanche, si le lecteur oublie de confirmer ou de venir à temps, le processus se complique pour les autres personnes inscrites après lui. C’est pourquoi les délais affichés méritent d’être lus avec attention. Une réservation bien suivie ne rend pas la bibliothèque parfaite, pourtant elle la rend plus prévisible et plus agréable à utiliser.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""livre"", ""lecteur"", ""attente"", ""titre"", ""système"", ""délai""]","[""book"", ""reader"", ""wait"", ""title"", ""system"", ""delay""]","[""fenêtre"", ""porte""]","[""window"", ""door""]","[{""id"": 1, ""correct_fr"": ""livre"", ""correct_en"": ""book""}, {""id"": 2, ""correct_fr"": ""lecteur"", ""correct_en"": ""reader""}, {""id"": 3, ""correct_fr"": ""attente"", ""correct_en"": ""wait""}, {""id"": 4, ""correct_fr"": ""titre"", ""correct_en"": ""title""}, {""id"": 5, ""correct_fr"": ""système"", ""correct_en"": ""system""}, {""id"": 6, ""correct_fr"": ""délai"", ""correct_en"": ""delay""}]",120,Easy,Library essentials
DIL004,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Short meeting,Réunion courte,"A short meeting seems easy to organize, but it rarely works without preparation. When participants arrive with a common goal and a few details already clear, the exchange moves quickly and the final decision appears more easily. By contrast, a meeting announced as brief can drag on if everyone adds a secondary topic at the last moment. So it is not the length alone that makes it effective. This format is especially suitable for reviewing progress, confirming a priority, or unlocking a small difficulty. It is much less suitable for a complex problem that requires time, disagreement, and real explanation. Many teams forget this and think they are saving time simply by reducing the slot on the calendar. In reality, a badly built short meeting only gives an impression of speed. When it is well prepared, however, it avoids unnecessary exchanges and leaves more energy for the rest of the day.","Une réunion courte semble simple à organiser, mais elle réussit rarement sans préparation. Quand les participants arrivent avec un objectif commun et quelques informations déjà claires, l’échange avance vite et la décision finale apparaît plus facilement. À l’inverse, une réunion annoncée comme brève peut s’étirer si chacun ajoute un sujet secondaire au dernier moment. Ce n’est donc pas la durée seule qui la rend efficace. Ce format convient surtout pour faire le point, confirmer une priorité ou débloquer une petite difficulté. Il convient beaucoup moins à un problème complexe qui demande du temps, des désaccords et de vraies explications. Beaucoup d’équipes l’oublient et croient gagner du temps simplement en réduisant le créneau sur le calendrier. En réalité, une réunion courte mal construite donne seulement une impression de vitesse. Lorsqu’elle est bien préparée, elle évite pourtant des échanges inutiles et laisse plus d’énergie pour le reste de la journée.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""réunion"", ""objectif"", ""échange"", ""décision"", ""sujet"", ""équipe""]","[""meeting"", ""objective"", ""exchange"", ""decision"", ""topic"", ""team""]","[""cuisine"", ""salon""]","[""kitchen"", ""living room""]","[{""id"": 1, ""correct_fr"": ""réunion"", ""correct_en"": ""meeting""}, {""id"": 2, ""correct_fr"": ""objectif"", ""correct_en"": ""objective""}, {""id"": 3, ""correct_fr"": ""échange"", ""correct_en"": ""exchange""}, {""id"": 4, ""correct_fr"": ""décision"", ""correct_en"": ""decision""}, {""id"": 5, ""correct_fr"": ""sujet"", ""correct_en"": ""topic""}, {""id"": 6, ""correct_fr"": ""équipe"", ""correct_en"": ""team""}]",120,Medium,Work-related essentials
DIL005,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Automatic reading / Autoplay,Lecture automatique,"Autoplay gives the impression of making viewing easier, but its real effect is more ambiguous than it seems. On a video platform, the next piece of content often starts even before the user has decided whether to continue. This continuity seems pleasant at first because it avoids interruptions and keeps the same rhythm. Yet it quietly shifts the choice: people move from a decision to an almost mechanical habit. This shift is not necessarily serious, but it changes the relationship to time and makes the real duration harder to notice. Some people enjoy this uninterrupted comfort, while others need a visible pause to take control again. The difference depends less on the content than on the sense of control during viewing. Turning this function off does not necessarily make the experience better, but it gives back a moment of choice between two videos. When that moment disappears, the viewer sometimes watches longer than planned.","La lecture automatique donne l’impression de faciliter le visionnage, mais son effet réel est plus ambigu qu’il n’y paraît. Sur une plateforme vidéo, le contenu suivant commence souvent avant même que l’utilisateur ait décidé s’il voulait continuer. Cette continuité semble agréable au début, car elle évite les coupures et garde le même rythme. Pourtant, elle déplace discrètement le choix : on passe d’une décision à une habitude presque mécanique. Ce glissement n’est pas forcément grave, mais il modifie la relation au temps et rend la durée réelle plus difficile à percevoir. Certains apprécient ce confort sans interruption, tandis que d’autres ont besoin d’une pause visible pour reprendre la main. La différence tient moins au contenu qu’au contrôle ressenti pendant le visionnage. Désactiver cette fonction ne rend pas forcément l’expérience meilleure, mais cela redonne un moment de choix entre deux vidéos. Quand ce moment disparaît, le spectateur regarde parfois plus longtemps qu’il ne l’avait prévu.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""lecture"", ""contenu"", ""utilisateur"", ""rythme"", ""pause"", ""contrôle""]","[""reading"", ""content"", ""user"", ""rhythm"", ""pause"", ""control""]","[""jardin"", ""rue""]","[""garden"", ""street""]","[{""id"": 1, ""correct_fr"": ""lecture"", ""correct_en"": ""reading""}, {""id"": 2, ""correct_fr"": ""contenu"", ""correct_en"": ""content""}, {""id"": 3, ""correct_fr"": ""utilisateur"", ""correct_en"": ""user""}, {""id"": 4, ""correct_fr"": ""rythme"", ""correct_en"": ""rhythm""}, {""id"": 5, ""correct_fr"": ""pause"", ""correct_en"": ""pause""}, {""id"": 6, ""correct_fr"": ""contrôle"", ""correct_en"": ""control""}]",120,Hard,"Media, Content and Entertainment"
DIL006,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Validation terminal / Ticket validation machine,Borne de validation,"The validation machine may seem like only a detail at the entrance to a bus or station, yet it plays an essential role in the journey. When the ticket or card is correctly passed in front of the device, the traveler knows that the pass has been registered and can continue more calmly. Many users become so used to this action that they no longer think about it, but this habit later avoids unnecessary discussions during inspections. The system can sometimes seem strict, especially for visitors who do not yet know the local network. However, the difficulty comes less from the machine itself than from the lack of explanations around it. Visible signs or a simple message are often enough to make the procedure clearer. Without this step, a ticket may seem valid while still remaining incomplete in the system. Correct validation does not make transport faster, but it avoids a problem that is easy to prevent.","La borne de validation semble n’être qu’un détail à l’entrée d’un bus ou d’une station, pourtant elle joue un rôle essentiel dans le trajet. Quand le billet ou la carte passe correctement devant l’appareil, le voyageur sait que son titre est pris en compte et qu’il peut continuer plus sereinement. Beaucoup d’usagers s’habituent à ce geste au point de ne plus y penser, mais cette habitude évite ensuite des discussions inutiles pendant les contrôles. Le système paraît parfois strict, surtout pour les visiteurs qui ne connaissent pas encore le réseau local. Cependant, la difficulté vient moins de la borne elle-même que du manque d’explications autour d’elle. Des panneaux visibles ou un message simple suffisent souvent à rendre la procédure plus claire. Sans cette étape, un billet peut sembler valable tout en restant incomplet dans le système. Une validation correcte ne rend pas le transport plus rapide, mais elle évite un problème facile à prévenir.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""borne"", ""billet"", ""carte"", ""appareil"", ""trajet"", ""réseau""]","[""terminal"", ""ticket"", ""card"", ""device"", ""journey"", ""network""]","[""téléphone"", ""écran""]","[""phone"", ""screen""]","[{""id"": 1, ""correct_fr"": ""borne"", ""correct_en"": ""terminal""}, {""id"": 2, ""correct_fr"": ""billet"", ""correct_en"": ""ticket""}, {""id"": 3, ""correct_fr"": ""carte"", ""correct_en"": ""card""}, {""id"": 4, ""correct_fr"": ""appareil"", ""correct_en"": ""device""}, {""id"": 5, ""correct_fr"": ""trajet"", ""correct_en"": ""journey""}, {""id"": 6, ""correct_fr"": ""réseau"", ""correct_en"": ""network""}]",120,Easy,Transport facilities
DIL007,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Busy waiting room,Salle d’attente chargée,"A crowded waiting room often creates more tension than a long consultation. The problem does not come only from the number of patients, but from the uncertainty that settles in when nobody knows how long the wait will last. A few visible details about the delay or the order of passage nevertheless change the situation a great deal. Even if the delay stays the same, people cope better with time they understand. This difference may seem small, but it influences the atmosphere of the whole room. In a medical place, this detail matters even more, because several patients already arrive tired, worried, or in pain. A wait with no reference point then ends up discouraging or irritating people more quickly than one might imagine. A calm reception and a few simple explanations do not really shorten the delay, but they often prevent it from seeming unfair or completely disordered.","Une salle d’attente chargée produit souvent plus de tension qu’une longue consultation. Le problème ne vient pas uniquement du nombre de patients, mais de l’incertitude qui s’installe quand personne ne sait combien de temps l’attente va durer. Quelques informations visibles sur le retard ou sur l’ordre de passage changent pourtant beaucoup la situation. Même si le délai reste le même, les personnes supportent mieux un temps qu’elles comprennent. Cette différence paraît minime, mais elle influence l’ambiance de toute la pièce. Dans un lieu médical, ce détail compte davantage, car plusieurs patients arrivent déjà fatigués, inquiets ou douloureux. Une attente sans repère finit alors par décourager ou irriter plus vite qu’on ne l’imagine. Un accueil calme et quelques explications simples ne raccourcissent pas vraiment le délai, mais ils empêchent souvent qu’il paraisse injuste ou totalement désordonné.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""salle"", ""attente"", ""patients"", ""retard"", ""délai"", ""accueil""]","[""room"", ""wait"", ""patients"", ""delay"", ""delay"", ""reception""]","[""livre"", ""page""]","[""book"", ""page""]","[{""id"": 1, ""correct_fr"": ""salle"", ""correct_en"": ""room""}, {""id"": 2, ""correct_fr"": ""attente"", ""correct_en"": ""wait""}, {""id"": 3, ""correct_fr"": ""patients"", ""correct_en"": ""patients""}, {""id"": 4, ""correct_fr"": ""retard"", ""correct_en"": ""delay""}, {""id"": 5, ""correct_fr"": ""délai"", ""correct_en"": ""delay""}, {""id"": 6, ""correct_fr"": ""accueil"", ""correct_en"": ""reception""}]",120,Medium,Healthcare essentials
DIL008,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Cabin baggage / Carry-on luggage,Bagage cabine,"Cabin baggage seems to offer total freedom, but that promise holds only if the constraints are well understood. Many travelers choose this option to avoid waiting at the carousel and to keep their belongings near them during the journey. This advantage is real, especially on a short stay or when a connection leaves little time. However, even a small difference in size or weight can turn this practical choice into a source of stress at boarding. That is where the difference appears between traveling light and traveling prepared. A bag that is not bulky is not always enough; people also need to know the airline’s exact rules. Without that check, cabin baggage sometimes becomes more restrictive than checked luggage. Preparing this bag methodically therefore avoids much more than a simple extra charge. It also makes it possible to move from an improvised trip to a more controlled journey.","Le bagage cabine semble offrir une liberté totale, mais cette promesse tient seulement si l’on comprend bien les contraintes. Beaucoup de voyageurs choisissent cette option pour éviter l’attente au tapis et garder leurs affaires près d’eux pendant le trajet. Cet avantage est réel, surtout lors d’un court séjour ou quand une correspondance laisse peu de temps. Cependant, le moindre écart sur les dimensions ou sur le poids peut transformer ce choix pratique en source de stress à l’embarquement. C’est là que l’on voit la différence entre voyager léger et voyager préparé. Un sac peu encombrant ne suffit pas toujours ; il faut aussi connaître les règles exactes de la compagnie. Sans cette vérification, le bagage cabine devient parfois plus contraignant qu’une valise en soute. Préparer ce sac avec méthode évite donc bien plus qu’un simple supplément. Cela permet aussi de passer d’un voyage improvisé à un trajet mieux maîtrisé.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""bagage"", ""cabine"", ""voyageurs"", ""dimensions"", ""poids"", ""sac""]","[""luggage"", ""cabin"", ""travelers"", ""dimensions"", ""weight"", ""bag""]","[""sac"", ""chaussure""]","[""bag"", ""shoe""]","[{""id"": 1, ""correct_fr"": ""bagage"", ""correct_en"": ""luggage""}, {""id"": 2, ""correct_fr"": ""cabine"", ""correct_en"": ""cabin""}, {""id"": 3, ""correct_fr"": ""voyageurs"", ""correct_en"": ""travelers""}, {""id"": 4, ""correct_fr"": ""dimensions"", ""correct_en"": ""dimensions""}, {""id"": 5, ""correct_fr"": ""poids"", ""correct_en"": ""weight""}, {""id"": 6, ""correct_fr"": ""sac"", ""correct_en"": ""bag""}]",120,Medium,Travel essentials
DIL009,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Online review,Avis en ligne,"Online reviews often give an impression of transparency, but that impression needs to be handled with caution. Many readers first look at the overall rating and then make a quick decision without really analyzing the content. This habit simplifies the choice, but it can also hide important nuances between several very different experiences. A precise comment, even a moderately positive one, sometimes sheds more light on reality than a series of extreme messages. So the problem is not the existence of reviews, but the way they are interpreted. Some reflect a particular moment, others describe a more stable trend, and the difference between the two is not always visible at first glance. Reading several recent reviews, noticing recurring details, and spotting comments that are too vague makes it possible to judge with more distance. Reviews do not replace direct experience, but they become useful when they are read as clues rather than final verdicts.","Les avis en ligne donnent souvent une impression de transparence, mais cette impression doit être traitée avec prudence. Beaucoup de lecteurs regardent d’abord la note générale, puis prennent une décision rapide sans vraiment analyser le contenu. Cette habitude simplifie le choix, mais elle peut aussi masquer des nuances importantes entre plusieurs expériences très différentes. Un commentaire précis, même modérément positif, éclaire parfois mieux la réalité qu’une série de messages extrêmes. Le problème n’est donc pas l’existence des avis, mais la manière de les interpréter. Certains reflètent un moment particulier, d’autres décrivent une tendance plus stable, et la différence entre les deux n’est pas toujours visible au premier regard. Lire plusieurs avis récents, observer les détails récurrents et repérer les critiques trop vagues permet de juger avec plus de recul. Les avis ne remplacent pas l’expérience directe, mais ils deviennent utiles quand on les lit comme des indices plutôt que comme des verdicts définitifs.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""avis"", ""ligne"", ""lecteurs"", ""note"", ""commentaire"", ""détails""]","[""review"", ""online"", ""readers"", ""rating"", ""comment"", ""details""]","[""chaise"", ""bureau""]","[""chair"", ""desk""]","[{""id"": 1, ""correct_fr"": ""avis"", ""correct_en"": ""review""}, {""id"": 2, ""correct_fr"": ""ligne"", ""correct_en"": ""online""}, {""id"": 3, ""correct_fr"": ""lecteurs"", ""correct_en"": ""readers""}, {""id"": 4, ""correct_fr"": ""note"", ""correct_en"": ""rating""}, {""id"": 5, ""correct_fr"": ""commentaire"", ""correct_en"": ""comment""}, {""id"": 6, ""correct_fr"": ""détails"", ""correct_en"": ""details""}]",120,Hard,"Media, Content and Entertainment"
DIL010,Diagram Labelling,Étiquetage des diagrammes,B1,fr,en,Public bench,Banc public,"A public bench may seem ordinary in a park, yet it strongly influences the way the space is used. It is not only a place to sit; it is also a stopping point, a place to observe, and sometimes to meet. When benches are placed near a pleasant path, a shaded area, or a playground, visitors stay longer and enjoy the place better. By contrast, an isolated, poorly oriented, or damaged bench quickly loses its value, even in a very busy park. This detail shows that good design depends less on the piece of furniture itself than on its relationship with the rest of the space. Well-placed benches create a welcoming feeling and make the park more restful for very different kinds of people. They serve older people, parents, tired walkers, or simply those who want to slow down for a moment. A well-designed bench does not change everything, but it genuinely improves the quality of a park.","Le banc public peut sembler anodin dans un parc, pourtant il influence fortement la manière dont l’espace est utilisé. Ce n’est pas seulement un endroit où l’on s’assoit ; c’est aussi un point d’arrêt, d’observation et parfois de rencontre. Quand les bancs sont placés près d’une allée agréable, d’un coin ombragé ou d’une aire de jeux, les visiteurs restent plus longtemps et profitent mieux du lieu. À l’inverse, un banc isolé, mal orienté ou abîmé perd vite son intérêt, même dans un parc très fréquenté. Ce détail montre qu’un bon aménagement dépend moins du mobilier en lui-même que de son rapport avec le reste de l’espace. Des bancs bien placés donnent une impression d’accueil et rendent le parc plus reposant pour des publics très différents. Ils servent aux personnes âgées, aux parents, aux promeneurs fatigués ou simplement à ceux qui veulent ralentir un moment. Un banc bien pensé ne change pas tout, mais il améliore réellement la qualité d’un parc.",Match each number with the correct answer.,Associez chaque nombre à la réponse correcte.,"[""banc"", ""parc"", ""visiteurs"", ""allée"", ""espace"", ""repos""]","[""bench"", ""park"", ""visitors"", ""path"", ""space"", ""rest""]","[""café"", ""thé""]","[""coffee"", ""tea""]","[{""id"": 1, ""correct_fr"": ""banc"", ""correct_en"": ""bench""}, {""id"": 2, ""correct_fr"": ""parc"", ""correct_en"": ""park""}, {""id"": 3, ""correct_fr"": ""visiteurs"", ""correct_en"": ""visitors""}, {""id"": 4, ""correct_fr"": ""allée"", ""correct_en"": ""path""}, {""id"": 5, ""correct_fr"": ""espace"", ""correct_en"": ""space""}, {""id"": 6, ""correct_fr"": ""repos"", ""correct_en"": ""rest""}]",120,Easy,Park essentials
