ExerciseID,Instruction_EN,Instruction_FR,Level,title_en,title_fr,passage_en,passage_fr,question_en,question_fr,question_number,correct_answer_en,correct_answer_fr,acceptable_answer_texts,timeLimitSeconds,minHighlightChars,maxHighlightChars,caseSensitive
HTS001_Q1,Drag to select text in the passage,Surlignez la phrase,B1,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.","According to the text, what arrives as soon as an expense goes through?","Selon le texte, qu’est-ce qui arrive dès qu’une dépense passe ?",1,a message,un message,20,360,120,160,FALSE
HTS001_Q2,Drag to select text in the passage,Surlignez la phrase,B1,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.","In this passage, which wording shows that the tool reassures the user?","Dans ce passage, quelle formulation fait comprendre que l’outil rassure l’utilisateur ?",2,reassures,rassure,20,360,120,160,FALSE
HTS001_Q3,Drag to select text in the passage,Surlignez la phrase,B1,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.",Which expression suggests the proposed solution to too many alerts?,Quelle expression suggère la solution proposée face à l’excès d’alertes ?,3,a more selective setting,un réglage plus sélectif,20,360,120,160,FALSE
HTS002_Q1,Drag to select text in the passage,Surlignez la phrase,B1,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.","According to the text, what time can the flight or train leave?","Selon le texte, à quelle heure peut partir le vol ou le train ?",1,late in the afternoon,en fin d’après-midi,20,360,120,160,FALSE
HTS002_Q2,Drag to select text in the passage,Surlignez la phrase,B1,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.","In this passage, which wording shows a slight discomfort in the last day of the stay?","Dans ce passage, quelle formulation montre un léger malaise dans la dernière journée du séjour ?",2,a strange feeling,une impression étrange,20,360,120,160,FALSE
HTS002_Q3,Drag to select text in the passage,Surlignez la phrase,B1,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.",Which wording suggests practical advice to the reader?,Quelle formulation laisse entendre un conseil pratique au lecteur ?,3,So it is better to ask early.,Mieux vaut donc poser la question tôt.,20,360,120,160,FALSE
HTS003_Q1,Drag to select text in the passage,Surlignez la phrase,B1,Online booking / Online reservation,Réservation en ligne,"Reserving a book online may seem discreet, but it changes the way people use a library a great deal. When a title is already borrowed, the reader no longer needs to come back several times to check whether the copy is finally available. The system gives the reader a place in the wait and replaces uncertainty with more stable information. This visibility matters more than people imagine, especially when the book is needed for homework or a specific assignment. The service does not make the document return faster, but it avoids unnecessary trips and disappointing visits. On the other hand, if the reader forgets to confirm or to come on time, the process becomes more complicated for the other people registered after them. That is why the displayed deadlines deserve careful reading. A well-managed reservation does not make the library perfect, yet it makes it more predictable and more pleasant to use.","La réservation en ligne d’un livre paraît discrète, mais elle change beaucoup la manière d’utiliser une bibliothèque. Lorsqu’un titre est déjà emprunté, le lecteur n’a plus besoin de revenir plusieurs fois pour vérifier si l’exemplaire est enfin disponible. Le système lui donne une place dans l’attente et remplace l’incertitude par une information plus stable. Cette visibilité compte davantage qu’on ne l’imagine, surtout quand le livre est nécessaire pour un devoir ou un travail précis. Le service n’accélère pas le retour du document, mais il évite des déplacements inutiles et des visites décevantes. En revanche, si le lecteur oublie de confirmer ou de venir à temps, le processus se complique pour les autres personnes inscrites après lui. C’est pourquoi les délais affichés méritent d’être lus avec attention. Une réservation bien suivie ne rend pas la bibliothèque parfaite, pourtant elle la rend plus prévisible et plus agréable à utiliser.","According to the text, what does the system give the reader?","Selon le texte, qu’est-ce que le système donne au lecteur ?",1,a place in the wait,une place dans l’attente,20,360,120,160,FALSE
HTS003_Q2,Drag to select text in the passage,Surlignez la phrase,B1,Online booking / Online reservation,Réservation en ligne,"Reserving a book online may seem discreet, but it changes the way people use a library a great deal. When a title is already borrowed, the reader no longer needs to come back several times to check whether the copy is finally available. The system gives the reader a place in the wait and replaces uncertainty with more stable information. This visibility matters more than people imagine, especially when the book is needed for homework or a specific assignment. The service does not make the document return faster, but it avoids unnecessary trips and disappointing visits. On the other hand, if the reader forgets to confirm or to come on time, the process becomes more complicated for the other people registered after them. That is why the displayed deadlines deserve careful reading. A well-managed reservation does not make the library perfect, yet it makes it more predictable and more pleasant to use.","La réservation en ligne d’un livre paraît discrète, mais elle change beaucoup la manière d’utiliser une bibliothèque. Lorsqu’un titre est déjà emprunté, le lecteur n’a plus besoin de revenir plusieurs fois pour vérifier si l’exemplaire est enfin disponible. Le système lui donne une place dans l’attente et remplace l’incertitude par une information plus stable. Cette visibilité compte davantage qu’on ne l’imagine, surtout quand le livre est nécessaire pour un devoir ou un travail précis. Le service n’accélère pas le retour du document, mais il évite des déplacements inutiles et des visites décevantes. En revanche, si le lecteur oublie de confirmer ou de venir à temps, le processus se complique pour les autres personnes inscrites après lui. C’est pourquoi les délais affichés méritent d’être lus avec attention. Une réservation bien suivie ne rend pas la bibliothèque parfaite, pourtant elle la rend plus prévisible et plus agréable à utiliser.","In the passage, which expression shows the main advantage for the reader’s organization?","Dans le passage, quelle expression montre l’avantage principal pour l’organisation du lecteur ?",2,more stable information,une information plus stable,20,360,120,160,FALSE
HTS003_Q3,Drag to select text in the passage,Surlignez la phrase,B1,Online booking / Online reservation,Réservation en ligne,"Reserving a book online may seem discreet, but it changes the way people use a library a great deal. When a title is already borrowed, the reader no longer needs to come back several times to check whether the copy is finally available. The system gives the reader a place in the wait and replaces uncertainty with more stable information. This visibility matters more than people imagine, especially when the book is needed for homework or a specific assignment. The service does not make the document return faster, but it avoids unnecessary trips and disappointing visits. On the other hand, if the reader forgets to confirm or to come on time, the process becomes more complicated for the other people registered after them. That is why the displayed deadlines deserve careful reading. A well-managed reservation does not make the library perfect, yet it makes it more predictable and more pleasant to use.","La réservation en ligne d’un livre paraît discrète, mais elle change beaucoup la manière d’utiliser une bibliothèque. Lorsqu’un titre est déjà emprunté, le lecteur n’a plus besoin de revenir plusieurs fois pour vérifier si l’exemplaire est enfin disponible. Le système lui donne une place dans l’attente et remplace l’incertitude par une information plus stable. Cette visibilité compte davantage qu’on ne l’imagine, surtout quand le livre est nécessaire pour un devoir ou un travail précis. Le service n’accélère pas le retour du document, mais il évite des déplacements inutiles et des visites décevantes. En revanche, si le lecteur oublie de confirmer ou de venir à temps, le processus se complique pour les autres personnes inscrites après lui. C’est pourquoi les délais affichés méritent d’être lus avec attention. Une réservation bien suivie ne rend pas la bibliothèque parfaite, pourtant elle la rend plus prévisible et plus agréable à utiliser.",Which wording suggests that a certain amount of care is necessary?,Quelle formulation suggère qu’une certaine prudence est nécessaire ?,3,the displayed deadlines deserve careful reading,les délais affichés méritent d’être lus avec attention,20,360,120,160,FALSE
HTS004_Q1,Drag to select text in the passage,Surlignez la phrase,B1,Short meeting,Réunion courte,"A short meeting seems easy to organize, but it rarely works without preparation. When participants arrive with a common goal and a few details already clear, the exchange moves quickly and the final decision appears more easily. By contrast, a meeting announced as brief can drag on if everyone adds a secondary topic at the last moment. So it is not the length alone that makes it effective. This format is especially suitable for reviewing progress, confirming a priority, or unlocking a small difficulty. It is much less suitable for a complex problem that requires time, disagreement, and real explanation. Many teams forget this and think they are saving time simply by reducing the slot on the calendar. In reality, a badly built short meeting only gives an impression of speed. When it is well prepared, however, it avoids unnecessary exchanges and leaves more energy for the rest of the day.","Une réunion courte semble simple à organiser, mais elle réussit rarement sans préparation. Quand les participants arrivent avec un objectif commun et quelques informations déjà claires, l’échange avance vite et la décision finale apparaît plus facilement. À l’inverse, une réunion annoncée comme brève peut s’étirer si chacun ajoute un sujet secondaire au dernier moment. Ce n’est donc pas la durée seule qui la rend efficace. Ce format convient surtout pour faire le point, confirmer une priorité ou débloquer une petite difficulté. Il convient beaucoup moins à un problème complexe qui demande du temps, des désaccords et de vraies explications. Beaucoup d’équipes l’oublient et croient gagner du temps simplement en réduisant le créneau sur le calendrier. En réalité, une réunion courte mal construite donne seulement une impression de vitesse. Lorsqu’elle est bien préparée, elle évite pourtant des échanges inutiles et laisse plus d’énergie pour le reste de la journée.","According to the text, what allows the exchange to move quickly?","Selon le texte, qu’est-ce qui permet à l’échange d’avancer vite ?",1,a common goal,un objectif commun,20,360,120,160,FALSE
