"ExerciseID","Question Type","Exercise Tag","Level","Difficulty","Time","Character Limit","Heading_EN","Heading_FR","Passage Title_EN","Passage Title_FR","Wrong Sentence_EN","Wrong Sentence_FR","Correct Sentence_EN","Correct Sentence_FR","Instructions box_EN","Instructions box_FR"
"CS001","correct_spelling","Tag_Daily_Life","A1","Easy","360","500","HEALTHY LIFESTYLE","UN MODE DE VIE SAIN","Daily Habits","Habitudes quotidiennes","She exercise three time a week and eat a lot of vegetable.","Elle fait de l exercice trois fois par semene et mange beaucoup de legume.","She exercises three times a week and eats a lot of vegetables.","Elle fait de l exercice trois fois par semaine et mange beaucoup de legumes.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS002","correct_spelling","Tag_Food","A1","Easy","360","500","AT THE BAKERY","A LA BOULANGERIE","Morning Routine","Routine matinale","He buy a fresh bred every mornin at the bakry.","Il achete un pain frais chaque matin a la boulangrie.","He buys a fresh bread every morning at the bakery.","Il achete un pain frais chaque matin a la boulangerie.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS003","correct_spelling","Tag_Travel","A1","Easy","360","500","AT THE STATION","A LA GARE","Travel","Voyage","The tran arive at the stasion at nine oclock.","Le tren arive a la gare a neuf heure.","The train arrives at the station at nine o clock.","Le train arrive a la gare a neuf heures.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS004","correct_spelling","Tag_Family","A1","Easy","360","500","FAMILY TIME","TEMPS EN FAMILLE","Weekend","Week-end","My sister and I play in the park every saturdey.","Ma soeur et moi jouons dans le parc chaque sameddi.","My sister and I play in the park every Saturday.","Ma soeur et moi jouons dans le parc chaque samedi.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS005","correct_spelling","Tag_School","A1","Easy","360","500","AT SCHOOL","A L ECOLE","Classroom","Salle de classe","The techer write the lesson on the bord.","Le professur ecrit la lecon sur le tableu.","The teacher writes the lesson on the board.","Le professeur ecrit la lecon sur le tableau.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS006","correct_spelling","Tag_Food","A1","Easy","360","500","LUNCH TIME","L HEURE DU DEJEUNER","Meals","Repas","We eat luch togeter at the cafetria every day.","Nous mangeons le dejeuner ensembl a la cafeteria chaque jour.","We eat lunch together at the cafeteria every day.","Nous mangeons le dejeuner ensemble a la cafeteria chaque jour.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS007","correct_spelling","Tag_Daily_Life","A1","Easy","360","500","MORNING ROUTINE","ROUTINE MATINALE","Getting Ready","Se preparer","She wake up erly and take a showre before brekfast.","Elle se reveil tot et prend une douche avant le petite dejeuner.","She wakes up early and takes a shower before breakfast.","Elle se reveille tot et prend une douche avant le petit dejeuner.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS008","correct_spelling","Tag_Sports","A1","Easy","360","500","SPORTS CLUB","CLUB SPORTIF","After School","Apres l ecole","He practise footbal with his frends on Fryday afternon.","Il pratique le footbal avec ses amis le vendrdi apres-midi.","He practises football with his friends on Friday afternoon.","Il pratique le football avec ses amis le vendredi apres-midi.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS009","correct_spelling","Tag_Work","A2","Medium","360","500","AT THE OFFICE","AU BUREAU","Work Day","Journee de travail","My coleague sended an importent email this mornning.","Mon collegue a envoye un email importent ce mattin.","My colleague sent an important email this morning.","Mon collegue a envoye un email important ce matin.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS010","correct_spelling","Tag_Travel","A2","Medium","360","500","BOOKING A HOTEL","RESERVER UN HOTEL","Holiday Planning","Planification des vacances","They booked a hotel neer the beech for there holliday.","Ils ont reserve un hotel pres de la plaje pour leurs vacanse.","They booked a hotel near the beach for their holiday.","Ils ont reserve un hotel pres de la plage pour leurs vacances.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS011","correct_spelling","Tag_Health","A2","Medium","360","500","DOCTOR VISIT","VISITE CHEZ LE MEDECIN","Health Advice","Conseils de sante","The docter recomended drinkng more watter every day.","Le medcin a recomande de boire plus d eau chaque jours.","The doctor recommended drinking more water every day.","Le medecin a recommande de boire plus d eau chaque jour.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS012","correct_spelling","Tag_School","A2","Medium","360","500","EXAM PREPARATION","PREPARATION AUX EXAMENS","Study Tips","Conseils d etude","The studants are preparring for there final exams next weak.","Les etudients se preparent pour leurs examen finaux la semene prochaine.","The students are preparing for their final exams next week.","Les etudiants se preparent pour leurs examens finaux la semaine prochaine.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
"CS013","correct_spelling","Tag_Food","A2","Medium","360","500","AT THE RESTAURANT","AU RESTAURANT","Dining Out","Diner au restaurant","The waiter bringed the menue and we orderd our meal.","Le serveur a apporte le menue et nous avons comande notre repas.","The waiter brought the menu and we ordered our meal.","Le serveur a apporte le menu et nous avons commande notre repas.","Type the corrected sentence below.","Tapez la phrase corrigee ci-dessous."
