id,passageText,questions,timeLimitSeconds
LP01,"Marie habite à Lyon depuis trois ans. Elle travaille comme professeur de français dans un lycée. Chaque matin, elle prend le bus pour aller au travail. Elle aime son métier parce qu'elle adore enseigner aux jeunes.","[{""question"": ""Depuis combien de temps Marie habite-t-elle à Lyon?"", ""options"": [""Un an"", ""Deux ans"", ""Trois ans"", ""Quatre ans""], ""correctIndex"": 2}, {""question"": ""Comment Marie va-t-elle au travail?"", ""options"": [""En voiture"", ""En train"", ""En bus"", ""À pied""], ""correctIndex"": 2}]",120
LP02,Le restaurant La Belle Époque est ouvert du mardi au dimanche. Le chef prépare des plats traditionnels français. Les desserts sont faits maison et sont délicieux. Le restaurant est fermé le lundi.,"[{""question"": ""Quand le restaurant est-il fermé?"", ""options"": [""Le mardi"", ""Le dimanche"", ""Le lundi"", ""Le samedi""], ""correctIndex"": 2}, {""question"": ""Que prépare le chef?"", ""options"": [""Des plats italiens"", ""Des plats traditionnels français"", ""Des plats chinois"", ""Des plats mexicains""], ""correctIndex"": 1}]",120
LP03,"Paul est étudiant en médecine à Paris. Il a vingt-quatre ans. Il étudie beaucoup et dort peu. Le week-end, il joue au football avec ses amis. Il veut devenir chirurgien.","[{""question"": ""Quel âge a Paul?"", ""options"": [""Vingt-deux ans"", ""Vingt-trois ans"", ""Vingt-quatre ans"", ""Vingt-cinq ans""], ""correctIndex"": 2}, {""question"": ""Que veut devenir Paul?"", ""options"": [""Médecin généraliste"", ""Dentiste"", ""Chirurgien"", ""Pharmacien""], ""correctIndex"": 2}]",120
LP04,La bibliothèque municipale est ouverte du lundi au samedi de neuf heures à dix-neuf heures. Elle est fermée le dimanche et les jours fériés. On peut emprunter jusqu'à dix livres à la fois pour une durée de trois semaines.,"[{""question"": ""Combien de livres peut-on emprunter à la fois?"", ""options"": [""Cinq livres"", ""Huit livres"", ""Dix livres"", ""Quinze livres""], ""correctIndex"": 2}, {""question"": ""Quand la bibliothèque est-elle fermée?"", ""options"": [""Le lundi"", ""Le samedi"", ""Le dimanche"", ""Le vendredi""], ""correctIndex"": 2}]",120
LP05,Sophie et Thomas partent en vacances en Espagne le mois prochain. Ils ont réservé un appartement près de la plage pour deux semaines. Ils veulent visiter Barcelone et Madrid. Sophie apprend l'espagnol depuis six mois.,"[{""question"": ""Combien de temps durent leurs vacances?"", ""options"": [""Une semaine"", ""Dix jours"", ""Deux semaines"", ""Un mois""], ""correctIndex"": 2}, {""question"": ""Depuis combien de temps Sophie apprend-elle l'espagnol?"", ""options"": [""Trois mois"", ""Six mois"", ""Un an"", ""Deux ans""], ""correctIndex"": 1}]",120
LP06,"Le marché de la ville a lieu chaque samedi matin de huit heures à treize heures. On y trouve des fruits, des légumes, du fromage et des fleurs. C'est un endroit très animé où les habitants se retrouvent.","[{""question"": ""Quand a lieu le marché?"", ""options"": [""Le vendredi matin"", ""Le samedi matin"", ""Le dimanche matin"", ""Tous les jours""], ""correctIndex"": 1}, {""question"": ""À quelle heure le marché ferme-t-il?"", ""options"": [""À midi"", ""À treize heures"", ""À quatorze heures"", ""À quinze heures""], ""correctIndex"": 1}]",120
LP07,Le musée d'art moderne est ouvert tous les jours sauf le mardi. L'entrée coûte douze euros pour les adultes et six euros pour les enfants. Les visites guidées ont lieu à dix heures et à quinze heures.,"[{""question"": ""Quel jour le musée est-il fermé?"", ""options"": [""Le lundi"", ""Le mardi"", ""Le mercredi"", ""Le jeudi""], ""correctIndex"": 1}, {""question"": ""Combien coûte l'entrée pour un adulte?"", ""options"": [""Huit euros"", ""Dix euros"", ""Douze euros"", ""Quinze euros""], ""correctIndex"": 2}]",120
LP08,"Julien fait du sport trois fois par semaine. Il va à la piscine le lundi, joue au tennis le mercredi et fait du vélo le samedi. Il mange sainement et dort huit heures par nuit.","[{""question"": ""Combien de fois par semaine Julien fait-il du sport?"", ""options"": [""Une fois"", ""Deux fois"", ""Trois fois"", ""Quatre fois""], ""correctIndex"": 2}, {""question"": ""Quel sport Julien pratique-t-il le mercredi?"", ""options"": [""La natation"", ""Le football"", ""Le tennis"", ""Le vélo""], ""correctIndex"": 2}]",120
LP09,La météo annonce du soleil pour ce week-end. Les températures seront autour de vingt-cinq degrés samedi et vingt-deux degrés dimanche. Il pourrait y avoir quelques nuages dimanche après-midi.,"[{""question"": ""Quelle température est prévue samedi?"", ""options"": [""Vingt degrés"", ""Vingt-deux degrés"", ""Vingt-cinq degrés"", ""Trente degrés""], ""correctIndex"": 2}, {""question"": ""Quel temps est prévu dimanche après-midi?"", ""options"": [""Du soleil"", ""De la pluie"", ""De la neige"", ""Quelques nuages""], ""correctIndex"": 3}]",120
LP10,Le vol Paris-Rome dure environ deux heures. L'avion décolle à quatorze heures trente et atterrit à seize heures trente heure locale. Les passagers doivent être à l'aéroport deux heures avant le départ.,"[{""question"": ""Combien de temps dure le vol?"", ""options"": [""Une heure"", ""Une heure et demie"", ""Deux heures"", ""Trois heures""], ""correctIndex"": 2}, {""question"": ""À quelle heure l'avion décolle-t-il?"", ""options"": [""À treize heures"", ""À quatorze heures"", ""À quatorze heures trente"", ""À quinze heures""], ""correctIndex"": 2}]",120
