ExerciseID,Instruction_EN,Instruction_FR,Level,LearningLang,KnownLang,passage_title_en,passage_title_fr,passage_en,passage_fr,question_en,question_fr,options_en,options_fr,correctIndex,timeLimitSeconds,difficulty,exercise_tag
RCN001_Q1,Reading Comprehension,Compréhension de lecture,B1,fr,en,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.",Why is a payment alert useful?,Pourquoi l’alerte de paiement est-elle utile ?,"[""It reduces bank fees."", ""It automatically blocks payments."", ""It replaces the bank card."", ""It allows you to immediately understand a transaction.""]","[""Elle réduit les frais bancaires."", ""Elle bloque automatiquement les paiements."", ""Elle remplace la carte bancaire."", ""Elle permet de comprendre immédiatement une dépense.""]",3,600,Easy,Animals Toys House
RCN001_Q2,Reading Comprehension,Compréhension de lecture,B1,fr,en,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.",What happens when a payment is made?,Que se passe-t-il quand une dépense est faite ?,"[""The bank calls the customer."", ""The account is automatically blocked."", ""The payment is canceled."", ""A message arrives immediately.""]","[""La banque appelle le client."", ""Le compte est bloqué automatiquement."", ""Le paiement est annulé."", ""Un message arrive immédiatement.""]",3,600,Easy,Animals Toys House
RCN001_Q3,Reading Comprehension,Compréhension de lecture,B1,fr,en,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.",Why are some people reassured?,Pourquoi certaines personnes sont-elles rassurées ?,"[""They can quickly see their expenses."", ""They pay less often."", ""They receive fewer notifications."", ""They use their card less.""]","[""Elles voient rapidement les dépenses."", ""Elles paient moins souvent."", ""Elles reçoivent moins de notifications."", ""Elles utilisent moins leur carte.""]",0,600,Easy,Animals Toys House
RCN001_Q4,Reading Comprehension,Compréhension de lecture,B1,fr,en,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.",Why does the tool lose its usefulness?,Pourquoi l’outil perd-il de son intérêt ?,"[""Too many alerts reduce attention."", ""It stops working properly."", ""It becomes difficult to use."", ""It becomes too expensive.""]","[""Trop d’alertes réduisent l’attention."", ""Il ne fonctionne plus correctement."", ""Il devient difficile à utiliser."", ""Il coûte trop cher.""]",0,600,Easy,Animals Toys House
RCN001_Q5,Reading Comprehension,Compréhension de lecture,B1,fr,en,Payment alert,Alerte de paiement,"A payment alert may look tiny in a banking app, but it changes the relationship to the account much more than people think. As soon as an expense goes through, a message arrives and the customer immediately understands what has just been debited. This quick reaction is especially reassuring for people who often use their card in different places during the same week. It also makes it possible to notice an unusual amount before doubt lasts all day. However, the tool loses part of its value when everything triggers an alert, even very small amounts. After hearing the phone vibrate again and again, some people end up no longer looking at the messages carefully. The service does not become useless for all that, but it stops being truly protective. A more selective setting therefore seems preferable to a flood of notifications. When used well, the alert mainly provides more control without requiring constant effort.","L’alerte de paiement paraît minuscule dans une application bancaire, mais elle change la relation au compte bien plus qu’on ne le croit. Dès qu’une dépense passe, un message arrive et le client comprend immédiatement ce qui vient d’être débité. Cette réaction rapide rassure surtout les personnes qui utilisent souvent leur carte dans des lieux différents au cours d’une même semaine. Elle permet aussi de remarquer une somme inhabituelle avant que le doute ne dure toute la journée. Pourtant, l’outil perd une partie de son intérêt quand tout déclenche une alerte, même les montants très faibles. À force d’entendre le téléphone vibrer, certains finissent par ne plus regarder les messages avec attention. Le service ne devient pas inutile pour autant, mais il cesse d’être vraiment protecteur. Un réglage plus sélectif semble donc préférable à une avalanche de notifications. Bien utilisée, l’alerte donne surtout plus de contrôle sans demander un effort constant.",What solution is suggested?,Quelle solution est proposée dans le texte ?,"[""Change banking apps."", ""Use only cash."", ""Use more selective settings."", ""Remove all alerts.""]","[""Changer d’application bancaire."", ""Utiliser uniquement du cash."", ""Utiliser un réglage plus sélectif."", ""Supprimer toutes les alertes.""]",2,600,Easy,Animals Toys House
RCN002_Q1,Reading Comprehension,Compréhension de lecture,B1,fr,en,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.",Why does a late departure change the day?,Pourquoi le départ tardif change-t-il la journée ?,"[""It automatically extends the stay."", ""It adds a free night."", ""It changes the organization of the last day."", ""It reduces the hotel price.""]","[""Il rend le séjour plus long automatiquement."", ""Il permet d’ajouter une nuit gratuite."", ""Il modifie l’organisation de la dernière journée."", ""Il réduit le prix de l’hôtel.""]",2,600,Medium,Animals Toys House
RCN002_Q2,Reading Comprehension,Compréhension de lecture,B1,fr,en,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.",What must a traveler do at midday without late departure?,Que doit faire le voyageur après midi sans départ tardif ?,"[""Wait elsewhere with luggage."", ""Stay in the room all day."", ""Leave early without luggage."", ""Change hotels immediately.""]","[""Il doit attendre ailleurs avec ses bagages."", ""Il peut rester dans sa chambre toute la journée."", ""Il peut partir plus tôt sans bagages."", ""Il change d’hôtel immédiatement.""]",0,600,Medium,Animals Toys House
RCN002_Q3,Reading Comprehension,Compréhension de lecture,B1,fr,en,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.",What feeling does this shift create?,Quelle impression ce décalage crée-t-il ?,"[""A strange feeling during the day."", ""Better time organization."", ""Physical fatigue."", ""Less stress.""]","[""Une impression étrange dans la journée."", ""Une meilleure organisation du temps."", ""Une sensation de fatigue physique."", ""Une réduction du stress.""]",0,600,Medium,Animals Toys House
RCN002_Q4,Reading Comprehension,Compréhension de lecture,B1,fr,en,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.",Why is late departure useful?,Pourquoi le départ tardif est-il utile ?,"[""It reduces luggage."", ""It allows more time to rest or work."", ""It guarantees a free service."", ""It improves transport.""]","[""Il réduit les bagages."", ""Il permet de se reposer ou travailler plus longtemps."", ""Il garantit un service gratuit."", ""Il améliore les transports.""]",1,600,Medium,Animals Toys House
RCN002_Q5,Reading Comprehension,Compréhension de lecture,B1,fr,en,Late departure,Départ tardif,"Late check-out is often presented as a small comfort, even though it sometimes changes the entire last day of a stay. When a flight or train leaves only late in the afternoon, leaving the room at noon often forces the traveler to wait somewhere else with luggage. In that case, the hotel is still nearby, but the stay is already over in practice. This gap creates a strange feeling, almost as if the day loses its rhythm. Late check-out then becomes more useful than it seems, especially for people who still need to work for a while, rest, or get ready calmly. However, not all hotels can accept this request, because rooms sometimes have to be ready very quickly for the next arrivals. So it is better to ask early. When it is granted at the right moment, this service turns a long wait into a much smoother end of the stay.","Le départ tardif est souvent présenté comme un petit confort, alors qu’il modifie parfois toute la dernière journée d’un séjour. Quand un vol ou un train part seulement en fin d’après-midi, quitter la chambre à midi oblige souvent le voyageur à attendre ailleurs avec ses bagages. Dans ce cas, l’hôtel reste encore proche, mais le séjour est déjà terminé dans la pratique. Ce décalage crée une impression étrange, presque comme si la journée perdait son rythme. Le départ tardif devient alors plus utile qu’il n’y paraît, surtout pour les personnes qui ont besoin de travailler encore un moment, de se reposer ou de se préparer calmement. Pourtant, tous les hôtels ne peuvent pas accepter cette demande, car les chambres doivent parfois être prêtes très vite pour les arrivées suivantes. Mieux vaut donc poser la question tôt. Quand il est accordé au bon moment, ce service transforme une longue attente en fin de séjour beaucoup plus fluide.",Why don’t all hotels accept it?,Pourquoi tous les hôtels ne l’acceptent-ils pas ?,"[""Hotels are always full."", ""Rooms must be ready for new guests."", ""Customers don’t ask for it."", ""The service is too expensive.""]","[""Les hôtels sont toujours complets."", ""Les chambres doivent être prêtes pour les nouveaux clients."", ""Les clients ne le demandent pas."", ""Le service est trop cher.""]",1,600,Medium,Animals Toys House
