"﻿ExerciseID","Instruction_EN","Instruction_FR","Level","LearningLang","KnownLang","question_en","question_fr","options_fr","options_en","correctIndex","imageUrl","imageAlt","timeLimitSeconds","difficulty","exercise_tag"
"MID001","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le chien met la balle dans la maison."", ""Le chat met la balle dans la maison."", ""Le cheval met la voiture dans la maison."", ""Le chat pose la balle sur la maison.""]","[""The dog puts the ball in the house."", ""The cat puts the ball in the house."", ""The horse puts the car in the house."", ""The cat places the ball on the house.""]","1","https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID002","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le lapin pousse le train dans le jardin."", ""Le singe porte le train dans la cuisine."", ""Le lapin porte le train dans le jardin."", ""L’ours porte le robot dans le jardin.""]","[""The rabbit pushes the train in the garden."", ""The monkey carries the train in the kitchen."", ""The rabbit carries the train in the garden."", ""The bear carries the robot in the garden.""]","2","https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=600&q=80","Match Image to Description","120","Medium","Animals Toys House"
"MID003","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le tigre attrape le cube près du garage."", ""L’éléphant attrape la peluche loin du garage."", ""Le lion attrape la peluche près du garage."", ""Le lion lance la peluche près du garage.""]","[""The tiger catches the cube near the garage."", ""The elephant catches the plush toy far from the garage."", ""The lion catches the plush toy near the garage."", ""The lion throws the plush toy near the garage.""]","2","https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID004","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le panda ferme la boîte sur la table."", ""La souris ferme le ballon sur la table."", ""Le panda ouvre la boîte sur la table."", ""Le cochon ferme la boîte sous la table.""]","[""The panda closes the box on the table."", ""The mouse closes the balloon on the table."", ""The panda opens the box on the table."", ""The pig closes the box under the table.""]","0","https://images.unsplash.com/photo-1514888286974-6c03e2ca1dba?w=600&q=80","Match Image to Description","120","Medium","Animals Toys House"
"MID005","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le mouton descend la figurine sur le lit."", ""La chèvre monte le tambour sur le lit."", ""Le mouton monte la figurine sur le lit."", ""Le canard monte la figurine sous le lit.""]","[""The sheep lowers the figurine onto the bed."", ""The goat lifts the drum onto the bed."", ""The sheep lifts the figurine onto the bed."", ""The duck lifts the figurine under the bed.""]","2","https://images.unsplash.com/photo-1472162072942-cd5147eb3902?w=600&q=80","Match Image to Description","120","Hard","Animals Toys House"
"MID006","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""L’oiseau court avec le puzzle devant la porte."", ""Le perroquet court avec le camion dans la fenêtre."", ""La poule court avec le camion devant la porte."", ""La poule s’assoit avec le camion devant la porte.""]","[""The bird runs with the puzzle in front of the door."", ""The parrot runs with the truck in the window."", ""The hen runs with the truck in front of the door."", ""The hen sits with the truck in front of the door.""]","2","https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID007","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""La grenouille suit le livre dans le couloir."", ""La grenouille traverse le livre dans le couloir."", ""La tortue suit la marionnette dans le couloir."", ""Le hamster suit le livre près du tapis.""]","[""The frog follows the book in the corridor."", ""The frog crosses the book in the corridor."", ""The turtle follows the puppet in the corridor."", ""The hamster follows the book near the rug.""]","0","https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=600&q=80","Match Image to Description","120","Medium","Animals Toys House"
"MID008","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le chat porte la balle dans la chambre."", ""Le chien porte la trottinette sur le plafond."", ""L’écureuil porte la trottinette dans la chambre."", ""L’écureuil met la trottinette dans la chambre.""]","[""The cat carries the ball in the room."", ""The dog carries the scooter on the ceiling."", ""The squirrel carries the scooter in the room."", ""The squirrel puts the scooter in the room.""]","2","https://images.unsplash.com/photo-1483985988355-763728e1935b?w=600&q=80","Match Image to Description","120","Medium","Animals Toys House"
"MID009","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le lapin pousse le train vers le salon."", ""Le singe pousse la voiture en face du salon."", ""Le cheval pousse la voiture vers le salon."", ""Le cheval tire la voiture vers le salon.""]","[""The rabbit pushes the train toward the living room."", ""The monkey pushes the car in front of the living room."", ""The horse pushes the car toward the living room."", ""The horse pulls the car toward the living room.""]","2","https://images.unsplash.com/photo-1436491865332-7a61a109cc05?w=600&q=80","Match Image to Description","120","Hard","Animals Toys House"
"MID010","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le lion ouvre la peluche dans le jardin."", ""L’ours ferme le robot dans le jardin."", ""Le tigre ouvre le robot sous le jardin."", ""L’ours ouvre le robot dans le jardin.""]","[""The lion opens the plush toy in the garden."", ""The bear closes the robot in the garden."", ""The tiger opens the robot under the garden."", ""The bear opens the robot in the garden.""]","3","https://images.unsplash.com/photo-1498050108023-c5249f4df085?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_01","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""L’éléphant entre avec le jeu dans la terrasse."", ""L’éléphant sort avec le jeu dans la terrasse."", ""La souris entre avec le jeu devant la terrasse."", ""Le panda entre avec la boîte dans la terrasse.""]","[""The elephant enters with the game on the terrace."", ""The elephant exits with the game on the terrace."", ""The mouse enters with the game in front of the terrace."", ""The panda enters with the box on the terrace.""]","0","https://images.unsplash.com/photo-1576091160399-112ba8d25d1d?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_02","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""La chèvre marche avec la corde loin de la chaise."", ""Le cochon marche avec la corde près de la chaise."", ""Le cochon court avec la corde près de la chaise."", ""Le mouton marche avec la figurine près de la chaise.""]","[""The goat walks with the rope far from the chair."", ""The pig walks with the rope near the chair."", ""The pig runs with the rope near the chair."", ""The sheep walks with the figurine near the chair.""]","1","https://images.unsplash.com/photo-1414235077428-338989a2e8c0?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_03","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""La poule s’assoit avec le puzzle entre la porte et la fenêtre."", ""Le canard se lève avec la carte entre la porte et la fenêtre."", ""Le canard s’assoit avec la carte entre la porte et la fenêtre."", ""L’oiseau s’assoit avec la carte à droite de la porte.""]","[""The hen sits with the puzzle between the door and the window."", ""The duck stands with the card between the door and the window."", ""The duck sits with the card between the door and the window."", ""The bird sits with the card to the right of the door.""]","2","https://images.unsplash.com/photo-1544620347-c4fd4a3d5957?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_04","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le perroquet traverse avec le livre vers le mur."", ""La grenouille traverse avec la marionnette vers le mur."", ""La tortue traverse avec le livre autour du mur."", ""Le perroquet prend le livre vers le mur.""]","[""The parrot crosses with the book toward the wall."", ""The frog crosses with the puppet toward the wall."", ""The turtle crosses with the book around the wall."", ""The parrot takes the book toward the wall.""]","0","https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_05","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le hamster met le skate sur le tapis."", ""Le hamster porte le skate sur le tapis."", ""L’écureuil met la trottinette sur le tapis."", ""Le chat met le skate sous le tapis.""]","[""The hamster puts the skateboard on the rug."", ""The hamster carries the skateboard on the rug."", ""The squirrel puts the scooter on the rug."", ""The cat puts the skateboard under the rug.""]","0","https://images.unsplash.com/photo-1506126613408-eca07ce68773?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_06","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le chien tire la poupée dans la chambre."", ""Le cheval tire la voiture dans la chambre."", ""Le lapin tire la poupée derrière la chambre."", ""Le chien lance la poupée dans la chambre.""]","[""The dog pulls the doll in the room."", ""The horse pulls the car in the room."", ""The rabbit pulls the doll behind the room."", ""The dog throws the doll in the room.""]","0","https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_07","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le singe ferme l’avion près du jardin."", ""L’ours ouvre le robot près du jardin."", ""Le lion ouvre l’avion loin du jardin."", ""Le singe ouvre l’avion près du jardin.""]","[""The monkey closes the plane near the garden."", ""The bear opens the robot near the garden."", ""The lion opens the plane far from the garden."", ""The monkey opens the plane near the garden.""]","3","https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_08","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le tigre descend le cube sur le balcon."", ""Le panda descend le cube sous le balcon."", ""Le tigre monte le cube sur le balcon."", ""L’éléphant descend le jeu sur le balcon.""]","[""The tiger brings the cube down onto the balcony."", ""The panda brings the cube under the balcony."", ""The tiger lifts the cube onto the balcony."", ""The elephant brings the game down onto the balcony.""]","0","https://images.unsplash.com/photo-1499856871958-5b9627545d1a?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
"MID010_09","Match Image to Description","Faire correspondre l'image à la description","B1","fr","en","Select the option that correctly describes the image.","Sélectionnez l'option qui décrit correctement l'image.","[""Le cochon marche avec la corde vers la table."", ""Le mouton marche avec le ballon autour de la table."", ""La souris court avec le ballon vers la table."", ""La souris marche avec le ballon vers la table.""]","[""The pig walks with the rope toward the table."", ""The sheep walks with the ball around the table."", ""The mouse runs with the ball toward the table."", ""The mouse walks with the ball toward the table.""]","3","https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=600&q=80","Match Image to Description","120","Easy","Animals Toys House"
