ExerciseID,Instruction_FR,Level,LearningLang,KnownLang,Option1,Option1_EN,Option2,Option2_EN,Option3,Option3_EN,Option4,Option4_EN,options,Question,question,correctAnswer,ShuffleOptions,Complete sentence,CorrectOptionIndex,eval_BlankIndex,eval_CorrectAnswer
FB001,Complétez la phrase avec le mot correct,A1,FR,EN,Chat,Cat,Chien,Dog,Oiseau,Bird,Verte,Green,"[""Chat"", ""Chien"", ""Oiseau"", ""Verte""]",Le chien et le ____ (Cat) jouent dans le jardin toute la journée.,Le chien et le ____ (Cat) jouent dans le jardin toute la journée.,Chat,True,Le chien et le chat (Cat) jouent dans le jardin toute la journée.,1,1,Chat
FB002,Complétez la phrase avec le mot correct,A1,FR,EN,La,The,Le,The,Les,The,Un,A,"[""La"", ""Le"", ""Les"", ""Un""]",____ maison est grande.,____ maison est grande.,La,True,La maison est grande.,1,1,La
FB003,Complétez la phrase avec le mot correct,A1,FR,EN,mangons,eat,mange,eats,mangent,eat,manger,to eat,"[""mangons"", ""mange"", ""mangent"", ""manger""]",Nous ____ une pizza ce soir.,Nous ____ une pizza ce soir.,mangons,True,Nous mangons une pizza ce soir.,1,1,mangons
FB004,Complétez la phrase avec le mot correct,A1,FR,EN,au,to the,à la,to the,aux,to the,en,in,"[""au"", ""\u00e0 la"", ""aux"", ""en""]",Il va ____ cinéma ce week-end.,Il va ____ cinéma ce week-end.,au,True,Il va au cinéma ce week-end.,1,1,au
FB005,Complétez la phrase avec le mot correct,A1,FR,EN,Ces,These,Ce,This,Cette,This,Cet,This,"[""Ces"", ""Ce"", ""Cette"", ""Cet""]",____ enfants jouent dehors.,____ enfants jouent dehors.,Ces,True,Ces enfants jouent dehors.,1,1,Ces
FB001,Complétez la phrase avec le mot correct,A1,FR,EN,Chat,Cat,Chien,Dog,Oiseau,Bird,Verte,Green,"[""Chat"", ""Chien"", ""Oiseau"", ""Verte""]",Le chien et le ____ (Cat) jouent dans le jardin toute la journée.,Le chien et le ____ (Cat) jouent dans le jardin toute la journée.,Chat,True,Le chien et le chat (Cat) jouent dans le jardin toute la journée.,1,1,Chat
FB002,Complétez la phrase avec le mot correct,A1,FR,EN,La,The,Le,The,Les,The,Un,A,"[""La"", ""Le"", ""Les"", ""Un""]",____ maison est grande.,____ maison est grande.,La,True,La maison est grande.,1,1,La
FB003,Complétez la phrase avec le mot correct,A1,FR,EN,mangons,eat,mange,eats,mangent,eat,manger,to eat,"[""mangons"", ""mange"", ""mangent"", ""manger""]",Nous ____ une pizza ce soir.,Nous ____ une pizza ce soir.,mangons,True,Nous mangons une pizza ce soir.,1,1,mangons
FB004,Complétez la phrase avec le mot correct,A1,FR,EN,au,to the,à la,to the,aux,to the,en,in,"[""au"", ""\u00e0 la"", ""aux"", ""en""]",Il va ____ cinéma ce week-end.,Il va ____ cinéma ce week-end.,au,True,Il va au cinéma ce week-end.,1,1,au
FB005,Complétez la phrase avec le mot correct,A1,FR,EN,Ces,These,Ce,This,Cette,This,Cet,This,"[""Ces"", ""Ce"", ""Cette"", ""Cet""]",____ enfants jouent dehors.,____ enfants jouent dehors.,Ces,True,Ces enfants jouent dehors.,1,1,Ces
FB_IMG_001,Complétez la phrase avec le mot correct,A1,FR,EN,Chat,Cat,Chien,Dog,Oiseau,Bird,Verte,Green,"[""Chat"", ""Chien"", ""Oiseau"", ""Verte""]",Le chien et le ____ (Cat) jouent dans le jardin toute la journée.,Le chien et le ____ (Cat) jouent dans le jardin toute la journée.,Chat,True,Le chien et le chat (Cat) jouent dans le jardin toute la journée.,1,1,Chat
FB_IMG_002,Complétez la phrase avec le mot correct,A1,FR,EN,La,The,Le,The,Les,The,Un,A,"[""La"", ""Le"", ""Les"", ""Un""]",____ maison est grande.,____ maison est grande.,La,True,La maison est grande.,1,1,La
FB_IMG_003,Complétez la phrase avec le mot correct,A1,FR,EN,mangons,eat,mange,eats,mangent,eat,manger,to eat,"[""mangons"", ""mange"", ""mangent"", ""manger""]",Nous ____ une pizza ce soir.,Nous ____ une pizza ce soir.,mangons,True,Nous mangons une pizza ce soir.,1,1,mangons
FB_IMG_004,Complétez la phrase avec le mot correct,A1,FR,EN,au,to the,à la,to the,aux,to the,en,in,"[""au"", ""\u00e0 la"", ""aux"", ""en""]",Il va ____ cinéma ce week-end.,Il va ____ cinéma ce week-end.,au,True,Il va au cinéma ce week-end.,1,1,au
FB_IMG_005,Complétez la phrase avec le mot correct,A1,FR,EN,Ces,These,Ce,This,Cette,This,Cet,This,"[""Ces"", ""Ce"", ""Cette"", ""Cet""]",____ enfants jouent dehors.,____ enfants jouent dehors.,Ces,True,Ces enfants jouent dehors.,1,1,Ces
