ExerciseID,Level,Exercise Tag,Difficulty,Time,title,scenario,exchanges
WC001,A1,Daily life,Easy,300,Planning a Trip,Participate in a written conversation about planning a trip.,"[{""speakerText"":""Salut ! On se voit quand pour organiser le voyage ?"",""speakerAudio"":""Salut ! On se voit quand pour organiser le voyage ?"",""prompt"":""Propose a time to meet."",""sampleAnswer"":""On peut se voir samedi matin si tu veux."",""minWords"":5},{""speakerText"":""Samedi matin c'est parfait ! Tu préfères aller où ?"",""speakerAudio"":""Samedi matin c'est parfait ! Tu préfères aller où ?"",""prompt"":""Suggest a destination for the trip."",""sampleAnswer"":""Je voudrais aller à la mer. C'est relaxant et pas trop loin."",""minWords"":6},{""speakerText"":""Super idée ! On prend le train ou la voiture ?"",""speakerAudio"":""Super idée ! On prend le train ou la voiture ?"",""prompt"":""Choose a mode of transport and explain why."",""sampleAnswer"":""Je préfère le train. C'est plus rapide et on peut se reposer pendant le trajet."",""minWords"":7},{""speakerText"":""D'accord pour le train. Tu peux réserver les billets ?"",""speakerAudio"":""D'accord pour le train. Tu peux réserver les billets ?"",""prompt"":""Agree to book the tickets and ask about the budget."",""sampleAnswer"":""Oui je peux réserver. Quel est notre budget pour les billets ?"",""minWords"":6},{""speakerText"":""On a environ cent euros chacun. C'est suffisant ?"",""speakerAudio"":""On a environ cent euros chacun. C'est suffisant ?"",""prompt"":""Confirm the budget is enough and suggest what to pack."",""sampleAnswer"":""Oui c'est suffisant. N'oublie pas d'apporter de la crème solaire et des vêtements légers."",""minWords"":8}]"
WC002,A1,Food & dining,Easy,300,At the Restaurant,You are having a written conversation with a friend about choosing a restaurant.,"[{""speakerText"":""Tu as faim ? On va manger quelque chose ?"",""speakerAudio"":""Tu as faim ? On va manger quelque chose ?"",""prompt"":""Say you are hungry and suggest a type of restaurant."",""sampleAnswer"":""Oui j'ai très faim. On pourrait aller dans un restaurant italien ?"",""minWords"":5},{""speakerText"":""Bonne idée ! Tu connais un bon restaurant italien près d'ici ?"",""speakerAudio"":""Bonne idée ! Tu connais un bon restaurant italien près d'ici ?"",""prompt"":""Recommend a specific restaurant you know."",""sampleAnswer"":""Oui il y a un très bon restaurant qui s'appelle La Bella Italia. La pizza est délicieuse."",""minWords"":7},{""speakerText"":""Parfait ! On y va à quelle heure ?"",""speakerAudio"":""Parfait ! On y va à quelle heure ?"",""prompt"":""Suggest a time to go and ask if they need to make a reservation."",""sampleAnswer"":""On peut y aller à vingt heures. Tu penses qu'il faut réserver une table ?"",""minWords"":7},{""speakerText"":""Oui c'est mieux de réserver le week-end. Tu peux appeler ?"",""speakerAudio"":""Oui c'est mieux de réserver le week-end. Tu peux appeler ?"",""prompt"":""Agree to call and ask what they want to eat."",""sampleAnswer"":""D'accord je vais appeler maintenant. Qu'est-ce que tu veux manger comme plat principal ?"",""minWords"":7},{""speakerText"":""Je vais prendre les pâtes carbonara. Et toi ?"",""speakerAudio"":""Je vais prendre les pâtes carbonara. Et toi ?"",""prompt"":""Tell them what you want to order."",""sampleAnswer"":""Moi je vais prendre la pizza margherita et une salade verte. J'adore la cuisine italienne."",""minWords"":7}]"
WC003,A1,Shopping,Easy,300,Shopping for Clothes,You are chatting with a friend about buying new clothes.,"[{""speakerText"":""Je dois acheter des vêtements pour la fête. Tu viens avec moi ?"",""speakerAudio"":""Je dois acheter des vêtements pour la fête. Tu viens avec moi ?"",""prompt"":""Accept the invitation and ask what kind of clothes they need."",""sampleAnswer"":""Oui avec plaisir ! Tu cherches quoi exactement ? Une robe ou un pantalon ?"",""minWords"":6},{""speakerText"":""Je cherche une belle robe. Pas trop chère si possible."",""speakerAudio"":""Je cherche une belle robe. Pas trop chère si possible ?"",""prompt"":""Suggest a shop where they can find nice dresses at good prices."",""sampleAnswer"":""Il y a un très bon magasin en centre-ville. Les robes sont jolies et pas trop chères."",""minWords"":7},{""speakerText"":""Super ! On y va quand ? Ce week-end ?"",""speakerAudio"":""Super ! On y va quand ? Ce week-end ?"",""prompt"":""Suggest a specific day and time to go shopping."",""sampleAnswer"":""On peut y aller samedi après-midi vers quatorze heures. Ça te convient ?"",""minWords"":6},{""speakerText"":""Samedi c'est parfait. Tu penses que je dois prendre quelle couleur ?"",""speakerAudio"":""Samedi c'est parfait. Tu penses que je dois prendre quelle couleur ?"",""prompt"":""Give advice on what colour would suit them."",""sampleAnswer"":""Je pense que le bleu marine t'irait très bien. C'est élégant et ça va avec tout."",""minWords"":8},{""speakerText"":""Bonne idée ! Et pour les chaussures ?"",""speakerAudio"":""Bonne idée ! Et pour les chaussures ?"",""prompt"":""Suggest what shoes to wear with the dress."",""sampleAnswer"":""Des escarpins noirs seraient parfaits. Ils sont classiques et très chics avec une robe bleue."",""minWords"":7}]"
WC004,A2,Work & career,Easy,300,Job Interview Preparation,You are helping a friend prepare for a job interview by writing messages.,"[{""speakerText"":""J'ai un entretien d'embauche demain. Je suis très stressé(e)."",""speakerAudio"":""J'ai un entretien d'embauche demain. Je suis très stressé(e)."",""prompt"":""Encourage them and ask what kind of job it is."",""sampleAnswer"":""Ne t'inquiète pas tu vas très bien t'en sortir ! C'est pour quel type de poste ?"",""minWords"":8},{""speakerText"":""C'est pour un poste de comptable dans une grande entreprise."",""speakerAudio"":""C'est pour un poste de comptable dans une grande entreprise."",""prompt"":""Give advice on how to prepare for the interview."",""sampleAnswer"":""Tu devrais relire ta lettre de motivation et préparer des réponses aux questions classiques."",""minWords"":8},{""speakerText"":""Quelles questions classiques tu penses qu'ils vont poser ?"",""speakerAudio"":""Quelles questions classiques tu penses qu'ils vont poser ?"",""prompt"":""Give examples of typical interview questions."",""sampleAnswer"":""Ils vont sûrement demander tes points forts et tes points faibles et pourquoi tu veux ce poste."",""minWords"":9},{""speakerText"":""Et comment je dois m'habiller pour l'entretien ?"",""speakerAudio"":""Et comment je dois m'habiller pour l'entretien ?"",""prompt"":""Give advice on what to wear to a job interview."",""sampleAnswer"":""Tu dois porter des vêtements professionnels. Un costume ou un tailleur serait idéal."",""minWords"":7},{""speakerText"":""Merci pour tous tes conseils. Je me sens mieux maintenant."",""speakerAudio"":""Merci pour tous tes conseils. Je me sens mieux maintenant."",""prompt"":""Wish them good luck and say you will be thinking of them."",""sampleAnswer"":""De rien ! Bonne chance pour demain. Je pense à toi et je suis sûr(e) que tu vas réussir."",""minWords"":9}]"
WC005,A2,Health,Easy,300,Feeling Unwell,You are exchanging messages with a friend who is not feeling well.,"[{""speakerText"":""Je ne me sens pas bien aujourd'hui. J'ai mal à la gorge."",""speakerAudio"":""Je ne me sens pas bien aujourd'hui. J'ai mal à la gorge."",""prompt"":""Express sympathy and ask about their other symptoms."",""sampleAnswer"":""Oh non c'est dommage ! Tu as aussi de la fièvre ou tu tousses ?"",""minWords"":6},{""speakerText"":""Oui j'ai un peu de fièvre et je suis très fatigué(e)."",""speakerAudio"":""Oui j'ai un peu de fièvre et je suis très fatigué(e)."",""prompt"":""Suggest they see a doctor and recommend some remedies."",""sampleAnswer"":""Tu devrais aller chez le médecin. En attendant bois beaucoup d'eau et repose-toi."",""minWords"":8},{""speakerText"":""Tu as raison. Tu peux m'accompagner chez le médecin ?"",""speakerAudio"":""Tu as raison. Tu peux m'accompagner chez le médecin ?"",""prompt"":""Agree to go with them and suggest a time."",""sampleAnswer"":""Bien sûr je peux t'accompagner. On peut y aller cet après-midi vers seize heures."",""minWords"":7},{""speakerText"":""Merci beaucoup. Le médecin a dit que c'est une angine."",""speakerAudio"":""Merci beaucoup. Le médecin a dit que c'est une angine."",""prompt"":""React to the news and ask if they have medicine."",""sampleAnswer"":""Oh une angine c'est pas agréable. Est-ce que le médecin t'a prescrit des antibiotiques ?"",""minWords"":7},{""speakerText"":""Oui il m'a donné des antibiotiques pour cinq jours."",""speakerAudio"":""Oui il m'a donné des antibiotiques pour cinq jours."",""prompt"":""Tell them to take care and get well soon."",""sampleAnswer"":""Bien. Prends bien tes médicaments et repose-toi. J'espère que tu vas vite te remettre."",""minWords"":8}]"
WC006,A2,Travel,Medium,300,Booking a Holiday,You are planning a holiday with a friend through written messages.,"[{""speakerText"":""J'ai envie de partir en vacances cet été. Tu veux venir avec moi ?"",""speakerAudio"":""J'ai envie de partir en vacances cet été. Tu veux venir avec moi ?"",""prompt"":""Accept enthusiastically and ask where they want to go."",""sampleAnswer"":""Oui j'adorerais partir avec toi ! Tu as une destination en tête ?"",""minWords"":6},{""speakerText"":""Je pensais à l'Espagne. Barcelone ou Madrid ?"",""speakerAudio"":""Je pensais à l'Espagne. Barcelone ou Madrid ?"",""prompt"":""Choose one city and explain why you prefer it."",""sampleAnswer"":""Je préfère Barcelone. Il y a la mer la gastronomie et l'architecture de Gaudí. C'est magnifique."",""minWords"":8},{""speakerText"":""Barcelone c'est parfait ! On part pour combien de jours ?"",""speakerAudio"":""Barcelone c'est parfait ! On part pour combien de jours ?"",""prompt"":""Suggest the number of days and explain your choice."",""sampleAnswer"":""Je pense que sept jours c'est idéal. On aura le temps de tout visiter sans se presser."",""minWords"":8},{""speakerText"":""D'accord. On réserve un hôtel ou un appartement ?"",""speakerAudio"":""D'accord. On réserve un hôtel ou un appartement ?"",""prompt"":""Give your preference and explain the advantages."",""sampleAnswer"":""Un appartement serait mieux. On peut cuisiner et c'est souvent moins cher qu'un hôtel."",""minWords"":8},{""speakerText"":""Bonne idée ! Tu t'occupes de la réservation ?"",""speakerAudio"":""Bonne idée ! Tu t'occupes de la réservation ?"",""prompt"":""Agree to handle the booking and ask about the budget."",""sampleAnswer"":""Oui je vais chercher sur internet. Quel est ton budget maximum pour l'hébergement ?"",""minWords"":7}]"
WC007,B1,Education,Medium,300,Choosing a University Course,You are discussing university course options with a friend.,"[{""speakerText"":""Je dois choisir ma filière universitaire avant la fin du mois. Je suis perdu(e)."",""speakerAudio"":""Je dois choisir ma filière universitaire avant la fin du mois. Je suis perdu(e)."",""prompt"":""Ask what subjects they are interested in."",""sampleAnswer"":""Quelles matières tu aimes le plus ? Ça peut t'aider à choisir la bonne filière."",""minWords"":8},{""speakerText"":""J'aime beaucoup les sciences et les maths mais aussi l'économie."",""speakerAudio"":""J'aime beaucoup les sciences et les maths mais aussi l'économie."",""prompt"":""Suggest two or three possible courses based on their interests."",""sampleAnswer"":""Tu pourrais faire ingénierie économie ou même finance. Ces filières correspondent bien à tes goûts."",""minWords"":9},{""speakerText"":""L'ingénierie m'intéresse mais j'ai peur que ce soit trop difficile."",""speakerAudio"":""L'ingénierie m'intéresse mais j'ai peur que ce soit trop difficile."",""prompt"":""Encourage them and explain that hard work pays off."",""sampleAnswer"":""C'est vrai que c'est exigeant mais si tu travailles sérieusement tu peux y arriver. Ne te décourage pas."",""minWords"":10},{""speakerText"":""Tu as raison. Quelles universités tu me conseilles pour l'ingénierie ?"",""speakerAudio"":""Tu as raison. Quelles universités tu me conseilles pour l'ingénierie ?"",""prompt"":""Recommend one or two universities and explain why."",""sampleAnswer"":""L'École Polytechnique est excellente mais très sélective. L'INSA est aussi très bien et plus accessible."",""minWords"":9},{""speakerText"":""Merci pour tes conseils. Je vais réfléchir sérieusement."",""speakerAudio"":""Merci pour tes conseils. Je vais réfléchir sérieusement."",""prompt"":""Wish them well and offer to help them with their application."",""sampleAnswer"":""De rien ! Si tu as besoin d'aide pour rédiger ta lettre de motivation je suis là."",""minWords"":9}]"
WC008,A1,Family,Easy,300,Weekend Plans with Family,You are writing to a family member about weekend plans.,"[{""speakerText"":""Qu'est-ce que tu fais ce week-end ?"",""speakerAudio"":""Qu'est-ce que tu fais ce week-end ?"",""prompt"":""Describe your weekend plans."",""sampleAnswer"":""Ce week-end je vais rester à la maison samedi et dimanche je vais voir mes grands-parents."",""minWords"":7},{""speakerText"":""Super ! Tu vas chez tes grands-parents souvent ?"",""speakerAudio"":""Super ! Tu vas chez tes grands-parents souvent ?"",""prompt"":""Say how often you visit them and why you enjoy it."",""sampleAnswer"":""J'y vais environ une fois par mois. J'adore y aller parce que ma grand-mère cuisine très bien."",""minWords"":8},{""speakerText"":""C'est mignon ! Qu'est-ce qu'elle cuisine de bon ?"",""speakerAudio"":""C'est mignon ! Qu'est-ce qu'elle cuisine de bon ?"",""prompt"":""Describe your grandmother's cooking."",""sampleAnswer"":""Elle fait un excellent bœuf bourguignon et ses tartes aux pommes sont les meilleures du monde."",""minWords"":8},{""speakerText"":""Ça a l'air délicieux ! Et samedi tu fais quoi ?"",""speakerAudio"":""Ça a l'air délicieux ! Et samedi tu fais quoi ?"",""prompt"":""Describe your Saturday plans in detail."",""sampleAnswer"":""Samedi matin je vais faire du sport et l'après-midi je vais regarder un film à la maison."",""minWords"":9},{""speakerText"":""Quel film tu vas regarder ?"",""speakerAudio"":""Quel film tu vas regarder ?"",""prompt"":""Name a film and say why you want to watch it."",""sampleAnswer"":""Je vais regarder Intouchables. C'est un film français très émouvant que je n'ai pas encore vu."",""minWords"":8}]"
WC009,A2,Technology,Medium,300,Talking About Social Media,You are discussing social media use with a friend.,"[{""speakerText"":""Tu utilises beaucoup les réseaux sociaux ?"",""speakerAudio"":""Tu utilises beaucoup les réseaux sociaux ?"",""prompt"":""Describe how much you use social media and which platforms."",""sampleAnswer"":""Oui j'utilise Instagram et Twitter tous les jours. J'y passe environ une heure par jour."",""minWords"":8},{""speakerText"":""Tu penses que c'est bon ou mauvais pour la santé mentale ?"",""speakerAudio"":""Tu penses que c'est bon ou mauvais pour la santé mentale ?"",""prompt"":""Give your opinion on social media and mental health."",""sampleAnswer"":""Je pense que ça peut être négatif si on y passe trop de temps. Il faut savoir se limiter."",""minWords"":10},{""speakerText"":""Tu as déjà essayé de réduire ton temps sur les réseaux ?"",""speakerAudio"":""Tu as déjà essayé de réduire ton temps sur les réseaux ?"",""prompt"":""Describe an experience of trying to use social media less."",""sampleAnswer"":""Oui j'ai essayé de ne pas regarder mon téléphone le matin. C'était difficile au début mais ça m'a aidé."",""minWords"":10},{""speakerText"":""Bonne idée ! Tu as des conseils pour mieux gérer ça ?"",""speakerAudio"":""Bonne idée ! Tu as des conseils pour mieux gérer ça ?"",""prompt"":""Give practical tips for managing social media use."",""sampleAnswer"":""Tu peux désactiver les notifications et te fixer des horaires précis pour consulter tes réseaux."",""minWords"":9},{""speakerText"":""Merci pour les conseils. Je vais essayer dès demain."",""speakerAudio"":""Merci pour les conseils. Je vais essayer dès demain."",""prompt"":""Encourage them and say you will check in with them next week."",""sampleAnswer"":""Très bien ! Je suis sûr(e) que tu vas y arriver. Je te demande des nouvelles la semaine prochaine."",""minWords"":9}]"
WC010,B1,Environment,Medium,300,Discussing Climate Change,You are having a written debate about climate change with a classmate.,"[{""speakerText"":""Tu penses que le changement climatique est vraiment un problème urgent ?"",""speakerAudio"":""Tu penses que le changement climatique est vraiment un problème urgent ?"",""prompt"":""Express your view on climate change urgency."",""sampleAnswer"":""Oui absolument. Les scientifiques sont unanimes et on voit déjà les effets avec les catastrophes naturelles."",""minWords"":9},{""speakerText"":""Qu'est-ce qu'on peut faire individuellement pour aider ?"",""speakerAudio"":""Qu'est-ce qu'on peut faire individuellement pour aider ?"",""prompt"":""Suggest three individual actions to help the environment."",""sampleAnswer"":""On peut réduire sa consommation de viande utiliser les transports en commun et éviter le plastique."",""minWords"":9},{""speakerText"":""Et les gouvernements ? Ils font assez selon toi ?"",""speakerAudio"":""Et les gouvernements ? Ils font assez selon toi ?"",""prompt"":""Give your opinion on government action on climate change."",""sampleAnswer"":""Je pense que les gouvernements ne font pas assez. Ils doivent investir davantage dans les énergies renouvelables."",""minWords"":10},{""speakerText"":""Tu penses que les jeunes peuvent vraiment changer les choses ?"",""speakerAudio"":""Tu penses que les jeunes peuvent vraiment changer les choses ?"",""prompt"":""Explain how young people can make a difference."",""sampleAnswer"":""Oui les jeunes ont un grand pouvoir. Ils peuvent voter manifester et changer leurs habitudes de consommation."",""minWords"":10},{""speakerText"":""Tu es optimiste pour l'avenir de la planète ?"",""speakerAudio"":""Tu es optimiste pour l'avenir de la planète ?"",""prompt"":""Express your level of optimism and explain why."",""sampleAnswer"":""Je suis prudemment optimiste. Les technologies vertes progressent et la conscience écologique grandit dans le monde entier."",""minWords"":9}]"
