ExerciseID,Question Type,Exercise Tag,Level,Difficulty,TimeLimitSeconds,Character Limit,Heading_EN,Heading_FR,Passage Title_EN,Passage Title_FR,Main instruction_FR,Main instruction_EN,Topic to cover_FR,Topic to cover_EN,Instructions box_FR,Instructions box_EN,Sample Answer_1_FR,Sample Answer_1_EN,Sample Answer_2_FR,Sample Answer_2_EN,Sample Answer_3_FR,Sample Answer_3_EN
WT001,write_topic,Tag_Family,A1,Easy,360,300,MY FAMILY,MA FAMILLE,Describing Your Family,Decrire sa famille,Ecrivez 2 a 3 phrases sur votre famille en francais.,Write 2 to 3 sentences about your family in French.,Qui est dans votre famille + Que fait votre famille le week-end + Decrivez un membre de votre famille,Who is in your family + What does your family do at weekends + Describe a family member,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J'ai une petite famille. Ma mere s'appelle Marie et mon pere s'appelle Pierre. J'ai un frere qui a dix ans.,I have a small family. My mother is called Marie and my father is called Pierre. I have a brother who is ten years old.,,,,
WT002,write_topic,Tag_Food,A1,Easy,360,300,FOOD AND MEALS,NOURRITURE ET REPAS,My Favourite Food,Mon plat prefere,Ecrivez sur votre nourriture preferee en francais.,Write about your favourite food in French.,Quel est votre plat prefere + Quand mangez-vous ce plat + Pourquoi aimez-vous ce plat,What is your favourite dish + When do you eat this dish + Why do you like this dish,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Mon plat prefere est la pizza. Je mange de la pizza le vendredi soir avec ma famille. J'aime la pizza parce qu'elle est delicieuse.,My favourite dish is pizza. I eat pizza on Friday evenings with my family. I like pizza because it is delicious.,,,,
WT003,write_topic,Tag_Daily_Life,A1,Easy,360,300,MY DAILY ROUTINE,MA ROUTINE QUOTIDIENNE,A Typical Day,Une journee typique,Decrivez votre routine quotidienne en francais.,Describe your daily routine in French.,A quelle heure vous levez-vous + Que faites-vous le matin + Que faites-vous le soir,What time do you get up + What do you do in the morning + What do you do in the evening,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Je me leve a sept heures. Le matin je prends le petit dejeuner et je vais a l ecole. Le soir je fais mes devoirs et je regarde la television.,I get up at seven o clock. In the morning I have breakfast and go to school. In the evening I do my homework and watch television.,,,,
WT004,write_topic,Tag_Travel,A1,Easy,360,300,MY CITY,MA VILLE,Where I Live,Ou j'habite,Ecrivez sur votre ville ou village en francais.,Write about your town or village in French.,Ou habitez-vous + Qu'est-ce qu'il y a dans votre ville + Aimez-vous votre ville,Where do you live + What is there in your town + Do you like your town,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J'habite a Paris. C'est une grande ville avec beaucoup de musees et de restaurants. J'aime ma ville parce qu'il y a beaucoup de choses a faire.,I live in Paris. It is a big city with many museums and restaurants. I like my city because there is a lot to do.,,,,
WT005,write_topic,Tag_School,A1,Easy,360,300,MY SCHOOL,MON ECOLE,School Life,La vie scolaire,Ecrivez sur votre ecole en francais.,Write about your school in French.,Comment est votre ecole + Quelles matieres aimez-vous + Qui est votre professeur prefere,What is your school like + Which subjects do you like + Who is your favourite teacher,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Mon ecole est grande et moderne. J'aime les maths et le francais. Mon professeur prefere est Madame Dupont parce qu'elle est tres gentille.,My school is big and modern. I like maths and French. My favourite teacher is Madame Dupont because she is very kind.,,,,
WT006,write_topic,Tag_Sports,A1,Easy,360,300,SPORT AND HOBBIES,SPORT ET LOISIRS,My Hobbies,Mes loisirs,Ecrivez sur vos loisirs et votre sport prefere en francais.,Write about your hobbies and favourite sport in French.,Quel sport pratiquez-vous + Quand pratiquez-vous ce sport + Avec qui jouez-vous,What sport do you play + When do you play this sport + Who do you play with,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Je joue au football avec mes amis le samedi. J'aime aussi nager a la piscine. Le sport est important pour la sante.,I play football with my friends on Saturdays. I also like swimming at the pool. Sport is important for health.,,,,
WT007,write_topic,Tag_Family,A1,Easy,360,300,MY WEEKEND,MON WEEK-END,Last Weekend,Le week-end dernier,Decrivez ce que vous avez fait le week-end dernier en francais.,Describe what you did last weekend in French.,Ou etes-vous alle + Avec qui + Qu'avez-vous fait,Where did you go + Who with + What did you do,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Le week-end dernier je suis alle au cinema avec ma famille. Nous avons regarde un film tres amusant. Ensuite nous avons mange une pizza ensemble.,Last weekend I went to the cinema with my family. We watched a very funny film. Then we ate a pizza together.,,,,
WT008,write_topic,Tag_Health,A1,Easy,360,300,HEALTH AND WELLBEING,SANTE ET BIEN-ETRE,Staying Healthy,Rester en bonne sante,Ecrivez sur la sante et les bonnes habitudes en francais.,Write about health and good habits in French.,Que faites-vous pour rester en bonne sante + Mangez-vous sainement + Faites-vous du sport,What do you do to stay healthy + Do you eat healthily + Do you do sport,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Pour rester en bonne sante je mange des fruits et des legumes. Je fais du sport trois fois par semaine. Je dors huit heures par nuit.,To stay healthy I eat fruit and vegetables. I do sport three times a week. I sleep eight hours a night.,,,,
WT009,write_topic,Tag_Daily_Life,A1,Easy,360,300,MY HOME,MA MAISON,Describing Your Home,Decrire sa maison,Decrivez votre maison ou appartement en francais.,Describe your house or flat in French.,Ou habitez-vous + Combien de pieces y a-t-il + Quelle est votre piece preferee,Where do you live + How many rooms are there + What is your favourite room,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J'habite dans une maison avec quatre pieces. Ma piece preferee est ma chambre parce qu'elle est grande et confortable. Il y a aussi un jardin.,I live in a house with four rooms. My favourite room is my bedroom because it is big and comfortable. There is also a garden.,,,,
WT010,write_topic,Tag_Travel,A1,Easy,360,300,HOLIDAYS,LES VACANCES,My Ideal Holiday,Mes vacances ideales,Ecrivez sur vos vacances ideales en francais.,Write about your ideal holiday in French.,Ou aimeriez-vous aller + Avec qui + Que feriez-vous,Where would you like to go + Who with + What would you do,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J'aimerais aller en Espagne avec ma famille. Nous irions a la plage et nous mangerions des tapas. Ce serait des vacances parfaites.,I would like to go to Spain with my family. We would go to the beach and eat tapas. It would be a perfect holiday.,,,,
WT011,write_topic,Tag_Work,A2,Medium,360,500,MY FUTURE JOB,MON FUTUR METIER,Career Ambitions,Ambitions professionnelles,Ecrivez sur le metier que vous aimeriez faire plus tard en francais.,Write about the job you would like to do in the future in French.,Quel metier aimeriez-vous faire + Pourquoi ce metier + Quelles qualites faut-il avoir,What job would you like to do + Why this job + What qualities are needed,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,Plus tard j'aimerais etre medecin parce que j'aime aider les gens. Il faut etre patient et travailleur pour ce metier. Je vais etudier la medecine a l universite.,Later I would like to be a doctor because I like helping people. You need to be patient and hardworking for this job. I am going to study medicine at university.,,,,
WT012,write_topic,Tag_School,A2,Medium,360,500,SCHOOL EXCHANGE,ECHANGE SCOLAIRE,A School Trip Abroad,Un voyage scolaire a l etranger,Decrivez un voyage scolaire ou un echange que vous avez fait ou aimeriez faire.,Describe a school trip or exchange you have done or would like to do.,Ou etes-vous alle + Qu'avez-vous appris + Qu'avez-vous aime,Where did you go + What did you learn + What did you enjoy,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,L annee derniere j ai participe a un echange scolaire en France. J ai loge chez une famille francaise pendant deux semaines. J ai beaucoup progresse en francais et j ai visite Paris.,Last year I took part in a school exchange in France. I stayed with a French family for two weeks. I improved a lot in French and visited Paris.,,,,
WT013,write_topic,Tag_Daily_Life,A2,Medium,360,500,TECHNOLOGY,LA TECHNOLOGIE,Technology in Daily Life,La technologie dans la vie quotidienne,Ecrivez sur la place de la technologie dans votre vie quotidienne.,Write about the role of technology in your daily life.,Comment utilisez-vous la technologie + Quels sont les avantages + Y a-t-il des inconvenients,How do you use technology + What are the advantages + Are there any disadvantages,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,J utilise mon telephone portable tous les jours pour communiquer avec mes amis et faire des recherches. La technologie facilite la vie mais il faut faire attention de ne pas trop l utiliser. Je passe environ deux heures par jour sur mon telephone.,I use my mobile phone every day to communicate with friends and do research. Technology makes life easier but you have to be careful not to use it too much. I spend about two hours a day on my phone.,,,,
WT014,write_topic,Tag_Food,A2,Medium,360,500,EATING HABITS,HABITUDES ALIMENTAIRES,Healthy Eating,Manger sainement,Ecrivez sur vos habitudes alimentaires et l importance de bien manger.,Write about your eating habits and the importance of eating well.,Que mangez-vous habituellement + Essayez-vous de manger sainement + Que pensez-vous de la restauration rapide,What do you usually eat + Do you try to eat healthily + What do you think of fast food,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,En general je mange assez sainement. Je mange des fruits et des legumes tous les jours et j evite les sucreries. Je pense que la restauration rapide est pratique mais pas bonne pour la sante.,In general I eat quite healthily. I eat fruit and vegetables every day and avoid sweets. I think fast food is convenient but not good for health.,,,,
WT015,write_topic,Tag_Travel,A2,Medium,360,500,A MEMORABLE TRIP,UN VOYAGE MEMORABLE,A Holiday I Will Never Forget,Des vacances inoubliables,Decrivez des vacances ou un voyage memorable que vous avez fait.,Describe a memorable holiday or trip you have made.,Ou etes-vous alle + Qu avez-vous fait + Pourquoi etait-ce memorable,Where did you go + What did you do + Why was it memorable,Ecrivez sur le sujet ci-dessous.,Write about the topic below.,L ete dernier je suis alle en Italie avec mes parents. Nous avons visite Rome et Florence et nous avons mange de delicieuses pizzas. C etait un voyage inoubliable parce que j ai decouvert une nouvelle culture.,Last summer I went to Italy with my parents. We visited Rome and Florence and ate delicious pizzas. It was an unforgettable trip because I discovered a new culture.,,,,
