ExerciseID,Instruction_EN,Instruction_FR,Level,LearningLang,KnownLang,hints,blanks,fullText,displayParts,SentenceWithBlank,eval_CorrectAnswer
VTB001,Type the missing word(s),Complétez la phrase en tapant le mot manquant,A2,FR,EN,"[""bakery"", ""bread""]","[""boulangerie"", ""pain""]",Je vais à la boulangerie pour acheter du pain.,"[""Je vais \u00e0 la "", "" pour acheter du "", "".""]",Je vais à la [bakery] pour acheter du [bread].,boulangerie|pain
VTB002,Type the missing word(s),Complétez la phrase en tapant le mot manquant,A2,FR,EN,"[""breakfast"", ""kitchen""]","[""petit d\u00e9jeuner"", ""cuisine""]",Elle prend le petit déjeuner dans la cuisine chaque matin.,"[""Elle prend le "", "" dans la "", "" chaque matin.""]",Elle prend le [breakfast] dans la [kitchen] chaque matin.,petit déjeuner|cuisine
VTB003,Type the missing word(s),Complétez la phrase en tapant le mot manquant,B1,FR,EN,"[""teacher"", ""homework""]","[""professeur"", ""devoirs""]",Le professeur a donné les devoirs aux étudiants.,"[""Le "", "" a donn\u00e9 les "", "" aux \u00e9tudiants.""]",Le [teacher] a donné les [homework] aux étudiants.,professeur|devoirs
VTB004,Type the missing word(s),Complétez la phrase en tapant le mot manquant,B1,FR,EN,"[""museum"", ""holidays""]","[""mus\u00e9e"", ""vacances""]",Nous avons visité le musée pendant les vacances d'été.,"[""Nous avons visit\u00e9 le "", "" pendant les "", "" d'\u00e9t\u00e9.""]",Nous avons visité le [museum] pendant les [holidays] d'été.,musée|vacances
VTB005,Type the missing word(s),Complétez la phrase en tapant le mot manquant,A2,FR,EN,"[""brother"", ""hospital""]","[""fr\u00e8re"", ""h\u00f4pital""]",Mon frère travaille dans un hôpital comme médecin.,"[""Mon "", "" travaille dans un "", "" comme m\u00e9decin.""]",Mon [brother] travaille dans un [hospital] comme médecin.,frère|hôpital
VTB006,Type the missing word(s),Complétez la phrase en tapant le mot manquant,B1,FR,EN,"[""library"", ""Sunday""]","[""biblioth\u00e8que"", ""dimanche""]",La bibliothèque est fermée le dimanche et le lundi.,"[""La "", "" est ferm\u00e9e le "", "" et le lundi.""]",La [library] est fermée le [Sunday] et le lundi.,bibliothèque|dimanche
VTB007,Type the missing word(s),Complétez la phrase en tapant le mot manquant,B1,FR,EN,"[""children"", ""garden""]","[""enfants"", ""jardin""]",Les enfants jouent dans le jardin après l'école.,"[""Les "", "" jouent dans le "", "" apr\u00e8s l'\u00e9cole.""]",Les [children] jouent dans le [garden] après l'école.,enfants|jardin
VTB008,Type the missing word(s),Complétez la phrase en tapant le mot manquant,B2,FR,EN,"[""government"", ""measures""]","[""gouvernement"", ""mesures""]",Le gouvernement a annoncé de nouvelles mesures économiques.,"[""Le "", "" a annonc\u00e9 de nouvelles "", "" \u00e9conomiques.""]",Le [government] a annoncé de nouvelles [measures] économiques.,gouvernement|mesures
VTB009,Type the missing word(s),Complétez la phrase en tapant le mot manquant,A2,FR,EN,"[""pharmacy"", ""medications""]","[""pharmacie"", ""m\u00e9dicaments""]",Je cherche la pharmacie pour acheter des médicaments.,"[""Je cherche la "", "" pour acheter des "", "".""]",Je cherche la [pharmacy] pour acheter des [medications].,pharmacie|médicaments
VTB010,Type the missing word(s),Complétez la phrase en tapant le mot manquant,B1,FR,EN,"[""restaurant"", ""station""]","[""restaurant"", ""gare""]",Le restaurant est situé près de la gare centrale.,"[""Le "", "" est situ\u00e9 pr\u00e8s de la "", "" centrale.""]",Le [restaurant] est situé près de la [station] centrale.,restaurant|gare
