ExerciseID,Level,LearningLang,KnownLang,title_en,title_fr,correctOrder_fr,correctOrder_en,timeLimitSeconds,difficulty,exercise_tag
ROS001,B2,fr,en,Rephrasing a vague message,Reformuler un message flou,"[""Au bureau, une chargée de projet relit un courriel qu’un client a jugé trop vague la veille."", ""Comme la réponse précédente mélangeait plusieurs points, elle note d’abord ce qui doit être clarifié en priorité."", ""Au lieu de réécrire seule dans l’urgence, elle demande à une collègue comment la formulation pourrait être comprise de l’extérieur."", ""Leur échange montre qu’une phrase paraît plus sèche qu’elle ne le voulait, même si l’intention était simplement de fixer une limite."", ""Elle reformule alors le message avec une demande plus précise et un ton légèrement plus souple."", ""Avant de l’envoyer, elle ajoute un exemple concret pour éviter un nouveau malentendu.""]","[""In the office, a project coordinator rereads an email that a client had judged too vague the day before."", ""Since the previous reply mixed several points together, she first writes down what needs to be clarified as a priority."", ""Instead of rewriting it alone in a rush, she asks a colleague how the wording might be understood from the outside."", ""Their exchange shows that one sentence sounds harsher than she intended, even though the goal was simply to set a limit."", ""She then rewrites the message with a more precise request and a slightly softer tone."", ""Before sending it, she adds a concrete example to avoid another misunderstanding.""]",360,Easy,Professional communication
ROS002,B2,fr,en,A transfer that is taking too long,Un virement qui tarde,"[""À la banque, un client remarque sur son application qu’un virement important est toujours indiqué comme “en cours”."", ""Comme il devait régler une facture avant la fin de l’après-midi, ce délai commence à l’inquiéter."", ""Au guichet, l’employée vérifie le dossier et lui explique que le montant n’est pas bloqué, mais soumis à un contrôle automatique."", ""Cette précision le rassure à moitié, car il comprend que le problème vient du délai et non d’une erreur de compte."", ""Plutôt que d’annuler l’opération, il demande s’il existe une preuve temporaire à transmettre au fournisseur."", ""L’employée imprime alors une attestation, ce qui lui permet de prévenir l’entreprise sans aggraver la situation.""]","[""At the bank, a client notices on his app that an important transfer is still marked as “in progress.”"", ""Since he had to pay an invoice before the end of the afternoon, this delay starts to worry him."", ""At the counter, the employee checks the file and explains that the amount is not blocked, but undergoing an automatic review."", ""This detail half reassures him, because he understands that the problem comes from the delay rather than from an account error."", ""Instead of cancelling the transaction, he asks whether there is a temporary proof he can send to the supplier."", ""The employee then prints a certificate, which allows him to inform the company without making the situation worse.""]",360,Easy,Finance and Banking
ROS003,B2,fr,en,The missing document,Le document manquant,"[""À l’administration, une usagère arrive avec l’idée que son dossier est enfin complet après deux semaines de préparation."", ""En le parcourant, l’agent d’accueil constate pourtant qu’il manque encore un justificatif de domicile récent."", ""Sur le moment, elle croit devoir reprendre un rendez-vous, ce qui compliquerait encore son planning déjà serré."", ""Voyant sa réaction, l’agent précise qu’une version numérique envoyée le jour même peut suffire dans ce cas."", ""Elle appelle alors sa sœur, qui a accès au courrier resté à la maison, afin d’obtenir le document rapidement."", ""Quelques minutes plus tard, le fichier est transmis, et le dossier peut être enregistré sans nouveau déplacement.""]","[""At the public office, a user arrives thinking that her file is finally complete after two weeks of preparation."", ""While reviewing it, the receptionist nevertheless notices that a recent proof of address is still missing."", ""At first, she thinks she will have to book another appointment, which would complicate her already tight schedule even more."", ""Seeing her reaction, the receptionist explains that a digital version sent the same day may be enough in this case."", ""She then calls her sister, who has access to the mail left at home, in order to get the document quickly."", ""A few minutes later, the file is sent, and the application can be registered without another trip.""]",360,Easy,Public policy & institutions
ROS004,B2,fr,en,Advice explained more clearly,Un conseil mieux expliqué,"[""À la pharmacie, un patient hésite devant le traitement conseillé, parce qu’il a déjà mal supporté un produit similaire il y a quelques mois."", ""En entendant cette réserve, la pharmacienne ne balaie pas sa crainte et lui demande quels effets l’avaient le plus gêné."", ""Sa réponse permet de distinguer une vraie réaction indésirable d’un simple inconfort passager."", ""Au lieu d’insister sur le premier choix, elle lui présente une autre option, avec un usage un peu différent mais mieux adapté à sa situation."", ""Comme il comprend enfin pourquoi les deux produits ne se valent pas pour lui, il accepte d’essayer la seconde solution."", ""Il repart moins méfiant, tout en sachant qu’il devra revenir si le symptôme persiste au-delà de quelques jours.""]","[""At the pharmacy, a patient hesitates in front of the recommended treatment because he had reacted badly to a similar product a few months earlier."", ""Hearing this concern, the pharmacist does not dismiss his fear and asks which effects had bothered him the most."", ""His answer makes it possible to distinguish a real adverse reaction from a simple temporary discomfort."", ""Instead of insisting on the first option, she presents another one, with a slightly different use but better suited to his situation."", ""Since he finally understands why the two products are not equivalent for him, he agrees to try the second solution."", ""He leaves less suspicious, while knowing that he will need to come back if the symptom continues beyond a few days.""]",360,Easy,Healthcare and pharmacy
ROS005,B2,fr,en,Noise in the building,Bruit dans l’immeuble,"[""Dans l’immeuble, plusieurs voisins entendent tôt le matin un bruit régulier qui ressemble d’abord à des travaux non annoncés."", ""Comme personne n’a reçu de message du syndic, une voisine descend vérifier avant que tout l’étage ne se plaigne."", ""Au rez-de-chaussée, elle découvre qu’un commerçant de la rue fait livrer du matériel par l’entrée arrière restée exceptionnellement ouverte."", ""Le va-et-vient explique enfin le vacarme, mais pas le fait que la porte commune ne ferme plus correctement."", ""Elle le signale aussitôt au gardien, qui comprend qu’un objet bloque le système depuis le début des livraisons."", ""Le problème est vite réglé, et les habitants admettent ensuite que la gêne venait surtout du manque d’information.""]","[""In the building, several neighbors hear early in the morning a regular noise that first sounds like unannounced construction work."", ""Since nobody received a message from the building management, one neighbor goes downstairs to check before the whole floor starts complaining."", ""On the ground floor, she discovers that a shopkeeper from the street is receiving equipment through the back entrance, which has been left open exceptionally."", ""The coming and going finally explains the noise, but not the fact that the shared door no longer closes properly."", ""She reports it immediately to the caretaker, who realizes that an object has been blocking the system since the deliveries began."", ""The problem is quickly fixed, and the residents later admit that the irritation mostly came from the lack of information.""]",360,Easy,Urban life & infrastructure
ROS006,B2,fr,en,Reorganizing a presentation,Un exposé à réorganiser,"[""À la bibliothèque, deux étudiants reprennent leur exposé après avoir reçu des remarques assez contradictoires de leur enseignant."", ""L’un veut ajouter davantage de sources pour renforcer l’analyse, alors que l’autre craint de perdre en clarté."", ""En comparant le plan avec les consignes, ils comprennent que le vrai problème n’est pas le contenu, mais l’équilibre entre contexte et argument principal."", ""Ils décident donc de déplacer une partie théorique en annexe au lieu de supprimer des idées utiles."", ""Ce choix allège l’introduction et laisse plus de place à l’exemple central, qui était jusque-là noyé dans les détails."", ""Quand ils relisent l’ensemble, le raisonnement paraît plus net sans trahir le travail déjà fait.""]","[""In the library, two students resume work on their presentation after receiving rather contradictory remarks from their teacher."", ""One wants to add more sources to strengthen the analysis, while the other fears losing clarity."", ""By comparing the outline with the instructions, they understand that the real problem is not the content, but the balance between context and the main argument."", ""They therefore decide to move one theoretical section to an appendix instead of removing useful ideas."", ""This choice lightens the introduction and leaves more room for the central example, which had until then been buried in details."", ""When they reread the whole thing, the reasoning feels clearer without betraying the work already done.""]",360,Easy,Education systems & academic life
ROS007,B2,fr,en,A compromise before the meeting,Un compromis avant la réunion,"[""Juste avant la réunion, deux collègues découvrent qu’ils n’ont pas préparé la même version du budget à défendre devant leur responsable."", ""L’un privilégie une solution prudente pour éviter tout risque, tandis que l’autre veut conserver une marge pour un projet encore incertain."", ""Comme aucun des deux ne peut convaincre l’autre en quelques minutes, la tension monte sans vraiment éclater."", ""Une troisième collègue leur suggère alors de distinguer ce qui doit être validé maintenant de ce qui peut rester provisoire."", ""Cette idée change la discussion, car chacun accepte plus facilement de protéger sa priorité sans bloquer l’ensemble."", ""Ils entrent finalement en salle de réunion avec une proposition commune, partielle mais crédible.""]","[""Just before the meeting, two colleagues discover that they have not prepared the same version of the budget to defend in front of their manager."", ""One favors a cautious solution to avoid any risk, while the other wants to keep room for a project that is still uncertain."", ""Since neither of them can convince the other in a few minutes, the tension rises without really exploding."", ""A third colleague then suggests separating what must be approved now from what can remain provisional."", ""This idea changes the discussion, because each person more easily agrees to protect their priority without blocking the whole plan."", ""They finally enter the meeting room with a shared proposal, partial but credible.""]",360,Easy,"Decisions, negotiation & persuasion"
ROS008,B2,fr,en,A misleading promotion,Une promotion trompeuse,"[""Dans le supermarché, une cliente compare deux lots de café attirée par une étiquette annonçant une réduction importante."", ""En regardant de plus près, elle remarque pourtant que le prix affiché concerne une carte de fidélité qu’elle n’a pas."", ""Comme la différence n’apparaissait pas clairement de loin, elle se demande si l’annonce est vraiment lisible pour tout le monde."", ""Un employé reconnaît que plusieurs clients ont déjà fait la même confusion depuis le matin."", ""Au lieu de discuter longtemps, il propose d’appliquer exceptionnellement le tarif réduit et de signaler le panneau au responsable du rayon."", ""Elle accepte le geste commercial, tout en comprenant que le vrai problème vient surtout de la présentation de l’offre.""]","[""In the supermarket, a customer compares two packs of coffee, attracted by a label announcing a major discount."", ""Looking more closely, however, she notices that the displayed price applies to a loyalty card that she does not have."", ""Since the difference was not clearly visible from a distance, she wonders whether the ad is really readable for everyone."", ""An employee admits that several customers have made the same mistake since the morning."", ""Instead of arguing for a long time, he offers to apply the reduced price exceptionally and to report the sign to the department manager."", ""She accepts the goodwill gesture, while understanding that the real problem mainly comes from how the offer is presented.""]",360,Easy,Consumer culture & advertising
ROS009,B2,fr,en,Cutting down without changing everything,Réduire sans tout changer,"[""Dans la cuisine de la colocation, les factures d’énergie posées sur la table lancent une discussion plus concrète que d’habitude."", ""Personne ne conteste qu’il faut réduire la consommation, mais chacun refuse une solution qui compliquerait trop la vie quotidienne."", ""L’un propose de baisser fortement le chauffage, ce qui paraît efficace sur le papier mais difficile à tenir le soir."", ""Une colocataire suggère plutôt de commencer par des gestes moins visibles, comme revoir l’usage du sèche-linge et des lumières oubliées."", ""Le groupe accepte cette approche parce qu’elle demande moins d’effort immédiat tout en restant mesurable."", ""Ils se donnent un mois pour comparer les résultats avant d’envisager des changements plus contraignants.""]","[""In the shared flat kitchen, the energy bills laid out on the table start a more concrete discussion than usual."", ""Nobody disputes that consumption must be reduced, but each person refuses a solution that would complicate daily life too much."", ""One person suggests sharply lowering the heating, which seems effective on paper but hard to maintain in the evening."", ""A flatmate instead suggests starting with less visible habits, such as reviewing dryer use and lights left on."", ""The group accepts this approach because it requires less immediate effort while remaining measurable."", ""They give themselves a month to compare the results before considering more restrictive changes.""]",360,Easy,Environmental challenges & sustainability
ROS010,B2,fr,en,Poorly passed-on instructions,Une consigne mal transmise,"[""À l’accueil du travail, un nouvel employé attend un livreur qui devait passer avant midi avec du matériel urgent."", ""Comme aucun colis n’arrive, il commence par vérifier le message reçu la veille, persuadé d’avoir retenu la bonne heure."", ""Il découvre alors qu’un détail a été reformulé entre deux courriels internes, ce qui a déplacé la livraison à l’entrée arrière."", ""Cette erreur n’est grave qu’en apparence, mais elle explique pourquoi le livreur disait attendre depuis vingt minutes."", ""Le nouvel employé rejoint aussitôt le bon accès et présente ses excuses, un peu gêné d’avoir cru à un retard inexistant."", ""Une fois les cartons récupérés, il prévient son équipe pour que la consigne soit corrigée dans le document partagé.""]","[""At the workplace reception desk, a new employee is waiting for a delivery driver who was supposed to arrive before noon with urgent equipment."", ""Since no package arrives, he first checks the message received the day before, convinced that he remembered the right time."", ""He then discovers that one detail was reworded between two internal emails, which moved the delivery to the back entrance."", ""This mistake is only serious in appearance, but it explains why the driver said he had been waiting for twenty minutes."", ""The new employee immediately goes to the correct access point and apologizes, slightly embarrassed to have assumed a delay that did not exist."", ""Once the boxes are collected, he informs his team so that the instruction can be corrected in the shared document.""]",360,Easy,Work-related essentials
