"ExerciseID","Question Type","Exercise Tag","Level","Difficulty","TimeLimitSeconds","Heading_EN","Heading_FR","Passage Title_EN","Passage Title_FR","Complete Passage_EN","Complete Passage_FR","Fill Paragraph_FR","Fill Paragraph_EN","Correct Answer_FR","Correct Answer_EN","Masked Answer_FR","Masked Answer_EN"
"WFB001","write_fill_blanks","Tag_Daily_Life","A1","Medium","360","DAILY ROUTINE","ROUTINE QUOTIDIENNE","Morning Habits","Habitudes matinales","Every morning I wake up early and drink a glass of water before breakfast.","Chaque matin je me reveille tot et bois un verre d eau avant le petit dejeuner.","Chaque matin je me [1] __________ tot et bois un [2] __________ d eau [3] __________ le petit dejeuner.","Every morning I wake up early and drink a glass of water before breakfast.","reveille + verre + avant","reveille + verre + avant","reve____ + ver__ + ava__","reve____ + ver__ + ava__"
"WFB002","write_fill_blanks","Tag_Food","A1","Medium","360","AT THE BAKERY","A LA BOULANGERIE","Fresh Bread","Pain frais","She buys a fresh baguette and two croissants at the bakery every morning.","Elle achete une baguette fraiche et deux croissants a la boulangerie chaque matin.","Elle achete une baguette [1] __________ et [2] __________ croissants a la boulangerie [3] __________ matin.","She buys a fresh baguette and two croissants at the bakery every morning.","fraiche + deux + chaque","fraiche + deux + chaque","frai___ + de__ + cha___","frai___ + de__ + cha___"
"WFB003","write_fill_blanks","Tag_Family","A1","Medium","360","FAMILY EVENING","SOIREE EN FAMILLE","Dinner Together","Diner ensemble","My family eats dinner together every evening and talks about the day.","Ma famille mange le diner ensemble chaque soir et parle de la journee.","Ma famille [1] __________ le diner [2] __________ chaque soir et [3] __________ de la journee.","My family eats dinner together every evening and talks about the day.","mange + ensemble + parle","mange + ensemble + parle","man__ + ense____ + par__","man__ + ense____ + par__"
"WFB004","write_fill_blanks","Tag_School","A1","Medium","360","AT SCHOOL","A L ECOLE","The Classroom","La salle de classe","The teacher writes the lesson on the board and the students listen carefully.","Le professeur ecrit la lecon sur le tableau et les eleves ecoutent attentivement.","Le professeur [1] __________ la lecon sur le [2] __________ et les eleves [3] __________ attentivement.","The teacher writes the lesson on the board and the students listen carefully.","ecrit + tableau + ecoutent","ecrit + tableau + ecoutent","ecr__ + tabl___ + ecou____","ecr__ + tabl___ + ecou____"
"WFB005","write_fill_blanks","Tag_Travel","A1","Medium","360","IN THE CITY","EN VILLE","Getting Around","Se deplacer","He takes the bus to the city centre and walks to the museum.","Il prend le bus pour aller au centre-ville et marche jusqu au musee.","Il [1] __________ le bus pour aller au [2] __________ et [3] __________ jusqu au musee.","He takes the bus to the city centre and walks to the museum.","prend + centre-ville + marche","prend + centre-ville + marche","pre__ + centre______ + mar___","pre__ + centre______ + mar___"
"WFB006","write_fill_blanks","Tag_Sports","A1","Medium","360","SPORTS CLUB","CLUB SPORTIF","After School","Apres l ecole","The children play football in the park after school on Fridays.","Les enfants jouent au football dans le parc apres l ecole le vendredi.","Les enfants [1] __________ au football dans le [2] __________ apres l ecole le [3] __________.","The children play football in the park after school on Fridays.","jouent + parc + vendredi","jouent + parc + vendredi","jou___ + pa__ + vend____","jou___ + pa__ + vend____"
"WFB007","write_fill_blanks","Tag_Health","A1","Medium","360","HEALTHY LIFE","VIE SAINE","Good Habits","Bonnes habitudes","She drinks water and eats fruit every day to stay healthy.","Elle boit de l eau et mange des fruits chaque jour pour rester en bonne sante.","Elle [1] __________ de l eau et [2] __________ des fruits chaque jour pour [3] __________ en bonne sante.","She drinks water and eats fruit every day to stay healthy.","boit + mange + rester","boit + mange + rester","bo__ + man__ + res___","bo__ + man__ + res___"
"WFB008","write_fill_blanks","Tag_Daily_Life","A1","Medium","360","WEEKEND PLANS","PLANS DU WEEK-END","Saturday Morning","Samedi matin","On Saturday morning my sister and I go to the market to buy vegetables.","Le samedi matin ma soeur et moi allons au marche pour acheter des legumes.","Le samedi matin ma [1] __________ et moi [2] __________ au marche pour [3] __________ des legumes.","On Saturday morning my sister and I go to the market to buy vegetables.","soeur + allons + acheter","soeur + allons + acheter","soe__ + all___ + ache___","soe__ + all___ + ache___"
"WFB009","write_fill_blanks","Tag_Food","A1","Medium","360","COOKING TIME","HEURE DE CUISINER","In the Kitchen","Dans la cuisine","My mother cooks a delicious soup with carrots and potatoes for lunch.","Ma mere cuisine une soupe delicieuse avec des carottes et des pommes de terre pour le dejeuner.","Ma mere [1] __________ une soupe [2] __________ avec des carottes et des pommes de terre pour le [3] __________.","My mother cooks a delicious soup with carrots and potatoes for lunch.","cuisine + delicieuse + dejeuner","cuisine + delicieuse + dejeuner","cuis___ + delic_____ + deje____","cuis___ + delic_____ + deje____"
"WFB010","write_fill_blanks","Tag_Family","A1","Medium","360","FAMILY WEEKEND","WEEK-END EN FAMILLE","Sunday Walk","Promenade du dimanche","Every Sunday my family goes for a walk in the forest near our house.","Chaque dimanche ma famille fait une promenade dans la foret pres de notre maison.","Chaque dimanche ma [1] __________ fait une [2] __________ dans la [3] __________ pres de notre maison.","Every Sunday my family goes for a walk in the forest near our house.","famille + promenade + foret","famille + promenade + foret","fami___ + prome____ + for__","fami___ + prome____ + for__"
"WFB011","write_fill_blanks","Tag_Work","A2","Medium","360","AT THE OFFICE","AU BUREAU","Work Day","Journee de travail","My colleague arrives at the office at nine and starts work immediately.","Mon collegue arrive au bureau a neuf heures et commence le travail immediatement.","Mon collegue [1] __________ au bureau a neuf heures et [2] __________ le travail [3] __________.","My colleague arrives at the office at nine and starts work immediately.","arrive + commence + immediatement","arrive + commence + immediatement","arr___ + comm____ + immedia______","arr___ + comm____ + immedia______"
"WFB012","write_fill_blanks","Tag_Travel","A2","Medium","360","HOLIDAY PLANS","PLANS DE VACANCES","Summer Trip","Voyage d ete","They decided to spend their summer holiday in the south of France near the sea.","Ils ont decide de passer leurs vacances d ete dans le sud de la France pres de la mer.","Ils ont [1] __________ de passer leurs [2] __________ d ete dans le sud de la [3] __________ pres de la mer.","They decided to spend their summer holiday in the south of France near the sea.","decide + vacances + France","decide + vacances + France","dec___ + vaca____ + Fra___","dec___ + vaca____ + Fra___"
"WFB013","write_fill_blanks","Tag_School","A2","Medium","360","EXAM WEEK","SEMAINE D EXAMENS","Study Time","Heure d etude","The students study hard every evening to prepare for their important exams.","Les etudiants etudient dur chaque soir pour se preparer a leurs examens importants.","Les etudiants [1] __________ dur chaque soir pour se [2] __________ a leurs examens [3] __________.","The students study hard every evening to prepare for their important exams.","etudient + preparer + importants","etudient + preparer + importants","etud____ + prep____ + impor_____","etud____ + prep____ + impor_____"
"WFB014","write_fill_blanks","Tag_Health","A2","Medium","360","DOCTOR VISIT","VISITE MEDICALE","Health Check","Bilan de sante","The doctor advised her to rest for a week and drink plenty of water.","Le medecin lui a conseille de se reposer pendant une semaine et de boire beaucoup d eau.","Le medecin lui a [1] __________ de se [2] __________ pendant une [3] __________ et de boire beaucoup d eau.","The doctor advised her to rest for a week and drink plenty of water.","conseille + reposer + semaine","conseille + reposer + semaine","conse____ + repo___ + sema___","conse____ + repo___ + sema___"
"WFB015","write_fill_blanks","Tag_Daily_Life","A2","Medium","360","CITY LIFE","VIE EN VILLE","Urban Transport","Transport urbain","She takes the metro to work every day because it is faster than the bus.","Elle prend le metro pour aller au travail chaque jour car c est plus rapide que le bus.","Elle prend le [1] __________ pour aller au [2] __________ chaque jour car c est plus [3] __________ que le bus.","She takes the metro to work every day because it is faster than the bus.","metro + travail + rapide","metro + travail + rapide","met__ + trav___ + rap___","met__ + trav___ + rap___"
"WFB016","write_fill_blanks","Tag_Food","A2","Medium","360","AT THE MARKET","AU MARCHE","Fresh Produce","Produits frais","The market sells fresh vegetables and fruit every morning from seven to noon.","Le marche vend des legumes frais et des fruits chaque matin de sept heures a midi.","Le marche [1] __________ des legumes [2] __________ et des fruits chaque [3] __________ de sept heures a midi.","The market sells fresh vegetables and fruit every morning from seven to noon.","vend + frais + matin","vend + frais + matin","ve__ + fra__ + mat__","ve__ + fra__ + mat__"
"WFB017","write_fill_blanks","Tag_Sports","A2","Medium","360","TRAINING SESSION","SEANCE D ENTRAINEMENT","Football Practice","Entrainement de football","The coach trains the team twice a week and prepares them for the championship.","L entraineur entraine l equipe deux fois par semaine et les prepare pour le championnat.","L [1] __________ur entraine l equipe deux fois par [2] __________ et les [3] __________ pour le championnat.","The coach trains the team twice a week and prepares them for the championship.","entraine + semaine + prepare","entraine + semaine + prepare","entr____ + sema___ + prep___","entr____ + sema___ + prep___"
"WFB018","write_fill_blanks","Tag_Family","A2","Medium","360","FAMILY NEWS","NOUVELLES FAMILIALES","A New Baby","Un nouveau bebe","My sister had a baby last month and the whole family is very happy.","Ma soeur a eu un bebe le mois dernier et toute la famille est tres heureuse.","Ma [1] __________ a eu un bebe le mois [2] __________ et toute la famille est tres [3] __________.","My sister had a baby last month and the whole family is very happy.","soeur + dernier + heureuse","soeur + dernier + heureuse","soe__ + dern___ + heur____","soe__ + dern___ + heur____"
"WFB019","write_fill_blanks","Tag_Work","A2","Medium","360","NEW PROJECT","NOUVEAU PROJET","Team Meeting","Reunion d equipe","The manager presented the new project to the team during the morning meeting.","Le directeur a presente le nouveau projet a l equipe lors de la reunion du matin.","Le directeur a [1] __________ le nouveau [2] __________ a l equipe lors de la [3] __________ du matin.","The manager presented the new project to the team during the morning meeting.","presente + projet + reunion","presente + projet + reunion","pres____ + pro___ + reun___","pres____ + pro___ + reun___"
"WFB020","write_fill_blanks","Tag_Travel","A2","Medium","360","TRAIN JOURNEY","VOYAGE EN TRAIN","Paris to Lyon","Paris a Lyon","The train from Paris to Lyon takes about two hours and is very comfortable.","Le train de Paris a Lyon prend environ deux heures et est tres confortable.","Le train de Paris a Lyon [1] __________ environ deux [2] __________ et est tres [3] __________.","The train from Paris to Lyon takes about two hours and is very comfortable.","prend + heures + confortable","prend + heures + confortable","pre__ + heu___ + confor_____","pre__ + heu___ + confor_____"
"WFB021","write_fill_blanks","Tag_School","A2","Medium","360","SCHOOL TRIP","SORTIE SCOLAIRE","Museum Visit","Visite au musee","The class visited the history museum and learned about ancient civilisations.","La classe a visite le musee d histoire et a appris les civilisations anciennes.","La classe a [1] __________ le musee d histoire et a [2] __________ les civilisations [3] __________.","The class visited the history museum and learned about ancient civilisations.","visite + appris + anciennes","visite + appris + anciennes","vis___ + app___ + ancie____","vis___ + app___ + ancie____"
"WFB022","write_fill_blanks","Tag_Daily_Life","A2","Medium","360","RAINY DAY","JOUR DE PLUIE","Staying In","Rester a la maison","Because it was raining heavily she decided to stay home and read a book.","Parce qu il pleuvait fort elle a decide de rester chez elle et lire un livre.","Parce qu il [1] __________ fort elle a [2] __________ de [3] __________ chez elle et lire un livre.","Because it was raining heavily she decided to stay home and read a book.","pleuvait + decide + rester","pleuvait + decide + rester","pleu____ + dec___ + res___","pleu____ + dec___ + res___"
"WFB023","write_fill_blanks","Tag_Work","B1","Medium","360","BUSINESS MEETING","REUNION D AFFAIRES","Quarterly Review","Bilan trimestriel","The management team reviewed the quarterly results and discussed strategies for growth.","L equipe de direction a examine les resultats trimestriels et discute des strategies de croissance.","L equipe de direction a [1] __________ les [2] __________ trimestriels et discute des [3] __________ de croissance.","The management team reviewed the quarterly results and discussed strategies for growth.","examine + resultats + strategies","examine + resultats + strategies","exam___ + resul____ + strat_____","exam___ + resul____ + strat_____"
"WFB024","write_fill_blanks","Tag_Travel","B1","Medium","360","TRAVEL TIPS","CONSEILS DE VOYAGE","Planning Ahead","Planifier a l avance","Experienced travellers recommend booking accommodation in advance to avoid disappointment.","Les voyageurs experimentes recommandent de reserver l hebergement a l avance pour eviter les deceptions.","Les voyageurs [1] __________ recommandent de reserver l [2] __________ a l avance pour eviter les [3] __________.","Experienced travellers recommend booking accommodation in advance to avoid disappointment.","experimentes + hebergement + deceptions","experimentes + hebergement + deceptions","experi______ + heberg_____ + decep_____","experi______ + heberg_____ + decep_____"
"WFB025","write_fill_blanks","Tag_Health","B1","Medium","360","WELLNESS ADVICE","CONSEILS DE BIEN-ETRE","Healthy Lifestyle","Mode de vie sain","Nutritionists recommend a balanced diet combined with regular physical activity.","Les nutritionnistes recommandent une alimentation equilibree combinee avec une activite physique reguliere.","Les nutritionnistes [1] __________ une alimentation [2] __________ combinee avec une activite physique [3] __________.","Nutritionists recommend a balanced diet combined with regular physical activity.","recommandent + equilibree + reguliere","recommandent + equilibree + reguliere","recomm______ + equil_____ + regul____","recomm______ + equil_____ + regul____"
"WFB026","write_fill_blanks","Tag_School","B1","Medium","360","UNIVERSITY LIFE","VIE UNIVERSITAIRE","Research Project","Projet de recherche","Students are required to submit a research project at the end of each semester.","Les etudiants doivent soumettre un projet de recherche a la fin de chaque semestre.","Les etudiants doivent [1] __________ un projet de [2] __________ a la fin de chaque [3] __________.","Students are required to submit a research project at the end of each semester.","soumettre + recherche + semestre","soumettre + recherche + semestre","soume____ + reche____ + seme____","soume____ + reche____ + seme____"
"WFB027","write_fill_blanks","Tag_Daily_Life","B1","Medium","360","URBAN PLANNING","URBANISME","City Development","Developpement urbain","The city council approved a plan to improve public transport and reduce pollution.","Le conseil municipal a approuve un plan pour ameliorer les transports publics et reduire la pollution.","Le conseil municipal a [1] __________ un plan pour [2] __________ les transports publics et [3] __________ la pollution.","The city council approved a plan to improve public transport and reduce pollution.","approuve + ameliorer + reduire","approuve + ameliorer + reduire","appr____ + ameli____ + redu___","appr____ + ameli____ + redu___"
