"id","sentence","audioText","translation","timeLimitSeconds"
"LB001","Le chat mange la souris.","Le chat mange la souris.","The cat eats the mouse.","60"
"LB002","Je vais au marché.","Je vais au marché.","I am going to the market.","60"
"LB003","Elle lit un livre.","Elle lit un livre.","She is reading a book.","60"
"LB004","Nous habitons à Paris.","Nous habitons à Paris.","We live in Paris.","60"
"LB005","Il fait beau aujourd'hui.","Il fait beau aujourd'hui.","The weather is nice today.","60"
"LB006","Je voudrais un café.","Je voudrais un café.","I would like a coffee.","60"
"LB007","Le train arrive à huit heures.","Le train arrive à huit heures.","The train arrives at eight o'clock.","60"
"LB008","Elle parle français très bien.","Elle parle français très bien.","She speaks French very well.","60"
"LB009","Nous mangeons au restaurant.","Nous mangeons au restaurant.","We are eating at the restaurant.","60"
"LB010","Il travaille dans un bureau.","Il travaille dans un bureau.","He works in an office.","60"
"LB011","Je prends le bus chaque matin.","Je prends le bus chaque matin.","I take the bus every morning.","60"
"LB012","Elle aime les fleurs rouges.","Elle aime les fleurs rouges.","She likes red flowers.","60"
"LB013","Le médecin arrive dans dix minutes.","Le médecin arrive dans dix minutes.","The doctor arrives in ten minutes.","60"
"LB014","Nous partons en vacances demain.","Nous partons en vacances demain.","We are leaving on holiday tomorrow.","60"
"LB015","Il pleut beaucoup en automne.","Il pleut beaucoup en automne.","It rains a lot in autumn.","60"
"LB016","Je cherche la gare.","Je cherche la gare.","I am looking for the station.","60"
"LB017","Elle prépare le dîner.","Elle prépare le dîner.","She is preparing dinner.","60"
"LB018","Le magasin est fermé le dimanche.","Le magasin est fermé le dimanche.","The shop is closed on Sunday.","60"
"LB019","Nous avons deux enfants.","Nous avons deux enfants.","We have two children.","60"
"LB020","Il fait du sport le matin.","Il fait du sport le matin.","He does sport in the morning.","60"
"LB021","Je lis le journal chaque jour.","Je lis le journal chaque jour.","I read the newspaper every day.","60"
"LB022","Elle habite près de l'école.","Elle habite près de l'école.","She lives near the school.","60"
"LB023","Le café ouvre à sept heures.","Le café ouvre à sept heures.","The café opens at seven o'clock.","60"
"LB024","Nous visitons le musée demain.","Nous visitons le musée demain.","We are visiting the museum tomorrow.","60"
"LB025","Il apprend le français.","Il apprend le français.","He is learning French.","60"
"LB026","Je mange une pomme chaque matin.","Je mange une pomme chaque matin.","I eat an apple every morning.","60"
"LB027","Elle chante très bien.","Elle chante très bien.","She sings very well.","60"
"LB028","Le bus part dans cinq minutes.","Le bus part dans cinq minutes.","The bus leaves in five minutes.","60"
"LB029","Nous regardons un film ce soir.","Nous regardons un film ce soir.","We are watching a film tonight.","60"
"LB030","Il écrit une lettre.","Il écrit une lettre.","He is writing a letter.","60"
"LB031","Je vais chez le dentiste vendredi.","Je vais chez le dentiste vendredi.","I am going to the dentist on Friday.","60"
"LB032","Elle achète des légumes au marché.","Elle achète des légumes au marché.","She buys vegetables at the market.","60"
"LB033","Le restaurant est complet.","Le restaurant est complet.","The restaurant is full.","60"
"LB034","Nous prenons le métro.","Nous prenons le métro.","We are taking the metro.","60"
"LB035","Il joue de la guitare.","Il joue de la guitare.","He plays the guitar.","60"
"LB036","Je réserve une chambre d'hôtel.","Je réserve une chambre d'hôtel.","I am booking a hotel room.","60"
"LB037","Elle court dans le parc.","Elle court dans le parc.","She runs in the park.","60"
"LB038","Le cours commence à neuf heures.","Le cours commence à neuf heures.","The class starts at nine o'clock.","60"
"LB039","Nous aimons voyager.","Nous aimons voyager.","We love travelling.","60"
"LB040","Il attend le médecin.","Il attend le médecin.","He is waiting for the doctor.","60"
