"ExerciseID","Instruction_EN","Instruction_FR","Level","LearningLang","KnownLang","title_en","title_fr","question_en","question_fr","image","items_fr","items_en","word_bank_fr","word_bank_en","timeLimitSeconds","difficulty","exercise_tag"
"IML001","Label the image","Étiquetez l'image","A2","fr","en","Kitchen Utensils","Ustensiles de cuisine","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1556909114-f6e7ad7d3136?w=800&q=80","[{""id"": 1, ""name_fr"": ""couteau"", ""name_en"": ""knife"", ""x"": 0.12, ""y"": 0.55}, {""id"": 2, ""name_fr"": ""fourchette"", ""name_en"": ""fork"", ""x"": 0.28, ""y"": 0.55}, {""id"": 3, ""name_fr"": ""assiette"", ""name_en"": ""plate"", ""x"": 0.5, ""y"": 0.5}, {""id"": 4, ""name_fr"": ""verre"", ""name_en"": ""glass"", ""x"": 0.75, ""y"": 0.3}]","[{""id"": 1, ""name_fr"": ""couteau"", ""name_en"": ""knife"", ""x"": 0.12, ""y"": 0.55}, {""id"": 2, ""name_fr"": ""fourchette"", ""name_en"": ""fork"", ""x"": 0.28, ""y"": 0.55}, {""id"": 3, ""name_fr"": ""assiette"", ""name_en"": ""plate"", ""x"": 0.5, ""y"": 0.5}, {""id"": 4, ""name_fr"": ""verre"", ""name_en"": ""glass"", ""x"": 0.75, ""y"": 0.3}]","[""couteau"", ""fourchette"", ""assiette"", ""verre"", ""cuillère"", ""bol""]","[""knife"", ""fork"", ""plate"", ""glass"", ""spoon"", ""bowl""]","120","Easy","Vocabulary"
"IML002","Label the image","Étiquetez l'image","A2","fr","en","Breakfast Table","Table du petit-déjeuner","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1484723091739-30a097e8f929?w=800&q=80","[{""id"": 1, ""name_fr"": ""café"", ""name_en"": ""coffee"", ""x"": 0.15, ""y"": 0.25}, {""id"": 2, ""name_fr"": ""pain"", ""name_en"": ""bread"", ""x"": 0.55, ""y"": 0.6}, {""id"": 3, ""name_fr"": ""œuf"", ""name_en"": ""egg"", ""x"": 0.35, ""y"": 0.7}, {""id"": 4, ""name_fr"": ""jus"", ""name_en"": ""juice"", ""x"": 0.8, ""y"": 0.3}]","[{""id"": 1, ""name_fr"": ""café"", ""name_en"": ""coffee"", ""x"": 0.15, ""y"": 0.25}, {""id"": 2, ""name_fr"": ""pain"", ""name_en"": ""bread"", ""x"": 0.55, ""y"": 0.6}, {""id"": 3, ""name_fr"": ""œuf"", ""name_en"": ""egg"", ""x"": 0.35, ""y"": 0.7}, {""id"": 4, ""name_fr"": ""jus"", ""name_en"": ""juice"", ""x"": 0.8, ""y"": 0.3}]","[""café"", ""pain"", ""œuf"", ""jus"", ""beurre"", ""confiture""]","[""coffee"", ""bread"", ""egg"", ""juice"", ""butter"", ""jam""]","120","Easy","Vocabulary"
"IML003","Label the image","Étiquetez l'image","A2","fr","en","Living Room","Salon","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=800&q=80","[{""id"": 1, ""name_fr"": ""canapé"", ""name_en"": ""sofa"", ""x"": 0.5, ""y"": 0.65}, {""id"": 2, ""name_fr"": ""table"", ""name_en"": ""table"", ""x"": 0.5, ""y"": 0.8}, {""id"": 3, ""name_fr"": ""lampe"", ""name_en"": ""lamp"", ""x"": 0.85, ""y"": 0.3}, {""id"": 4, ""name_fr"": ""fenêtre"", ""name_en"": ""window"", ""x"": 0.2, ""y"": 0.3}]","[{""id"": 1, ""name_fr"": ""canapé"", ""name_en"": ""sofa"", ""x"": 0.5, ""y"": 0.65}, {""id"": 2, ""name_fr"": ""table"", ""name_en"": ""table"", ""x"": 0.5, ""y"": 0.8}, {""id"": 3, ""name_fr"": ""lampe"", ""name_en"": ""lamp"", ""x"": 0.85, ""y"": 0.3}, {""id"": 4, ""name_fr"": ""fenêtre"", ""name_en"": ""window"", ""x"": 0.2, ""y"": 0.3}]","[""canapé"", ""table"", ""lampe"", ""fenêtre"", ""tapis"", ""coussin""]","[""sofa"", ""table"", ""lamp"", ""window"", ""rug"", ""cushion""]","120","Easy","Vocabulary"
"IML004","Label the image","Étiquetez l'image","A2","fr","en","Office Desk","Bureau de travail","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1498050108023-c5249f4df085?w=800&q=80","[{""id"": 1, ""name_fr"": ""ordinateur"", ""name_en"": ""computer"", ""x"": 0.45, ""y"": 0.4}, {""id"": 2, ""name_fr"": ""clavier"", ""name_en"": ""keyboard"", ""x"": 0.45, ""y"": 0.7}, {""id"": 3, ""name_fr"": ""souris"", ""name_en"": ""mouse"", ""x"": 0.75, ""y"": 0.72}, {""id"": 4, ""name_fr"": ""écran"", ""name_en"": ""screen"", ""x"": 0.45, ""y"": 0.25}]","[{""id"": 1, ""name_fr"": ""ordinateur"", ""name_en"": ""computer"", ""x"": 0.45, ""y"": 0.4}, {""id"": 2, ""name_fr"": ""clavier"", ""name_en"": ""keyboard"", ""x"": 0.45, ""y"": 0.7}, {""id"": 3, ""name_fr"": ""souris"", ""name_en"": ""mouse"", ""x"": 0.75, ""y"": 0.72}, {""id"": 4, ""name_fr"": ""écran"", ""name_en"": ""screen"", ""x"": 0.45, ""y"": 0.25}]","[""ordinateur"", ""clavier"", ""souris"", ""écran"", ""stylo"", ""cahier""]","[""computer"", ""keyboard"", ""mouse"", ""screen"", ""pen"", ""notebook""]","120","Easy","Vocabulary"
"IML005","Label the image","Étiquetez l'image","A2","fr","en","Fruit Market","Marché de fruits","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1542838132-92c53300491e?w=800&q=80","[{""id"": 1, ""name_fr"": ""pomme"", ""name_en"": ""apple"", ""x"": 0.2, ""y"": 0.45}, {""id"": 2, ""name_fr"": ""banane"", ""name_en"": ""banana"", ""x"": 0.45, ""y"": 0.35}, {""id"": 3, ""name_fr"": ""orange"", ""name_en"": ""orange"", ""x"": 0.65, ""y"": 0.5}, {""id"": 4, ""name_fr"": ""raisin"", ""name_en"": ""grapes"", ""x"": 0.8, ""y"": 0.4}]","[{""id"": 1, ""name_fr"": ""pomme"", ""name_en"": ""apple"", ""x"": 0.2, ""y"": 0.45}, {""id"": 2, ""name_fr"": ""banane"", ""name_en"": ""banana"", ""x"": 0.45, ""y"": 0.35}, {""id"": 3, ""name_fr"": ""orange"", ""name_en"": ""orange"", ""x"": 0.65, ""y"": 0.5}, {""id"": 4, ""name_fr"": ""raisin"", ""name_en"": ""grapes"", ""x"": 0.8, ""y"": 0.4}]","[""pomme"", ""banane"", ""orange"", ""raisin"", ""fraise"", ""citron""]","[""apple"", ""banana"", ""orange"", ""grapes"", ""strawberry"", ""lemon""]","120","Easy","Vocabulary"
"IML006","Label the image","Étiquetez l'image","A2","fr","en","City Street","Rue de la ville","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?w=800&q=80","[{""id"": 1, ""name_fr"": ""voiture"", ""name_en"": ""car"", ""x"": 0.3, ""y"": 0.65}, {""id"": 2, ""name_fr"": ""bâtiment"", ""name_en"": ""building"", ""x"": 0.7, ""y"": 0.35}, {""id"": 3, ""name_fr"": ""route"", ""name_en"": ""road"", ""x"": 0.5, ""y"": 0.8}, {""id"": 4, ""name_fr"": ""arbre"", ""name_en"": ""tree"", ""x"": 0.15, ""y"": 0.45}]","[{""id"": 1, ""name_fr"": ""voiture"", ""name_en"": ""car"", ""x"": 0.3, ""y"": 0.65}, {""id"": 2, ""name_fr"": ""bâtiment"", ""name_en"": ""building"", ""x"": 0.7, ""y"": 0.35}, {""id"": 3, ""name_fr"": ""route"", ""name_en"": ""road"", ""x"": 0.5, ""y"": 0.8}, {""id"": 4, ""name_fr"": ""arbre"", ""name_en"": ""tree"", ""x"": 0.15, ""y"": 0.45}]","[""voiture"", ""bâtiment"", ""route"", ""arbre"", ""lampadaire"", ""trottoir""]","[""car"", ""building"", ""road"", ""tree"", ""streetlight"", ""pavement""]","120","Easy","Vocabulary"
"IML007","Label the image","Étiquetez l'image","A2","fr","en","Classroom","Salle de classe","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1580582932707-520aed937b7b?w=800&q=80","[{""id"": 1, ""name_fr"": ""tableau"", ""name_en"": ""board"", ""x"": 0.5, ""y"": 0.25}, {""id"": 2, ""name_fr"": ""bureau"", ""name_en"": ""desk"", ""x"": 0.3, ""y"": 0.7}, {""id"": 3, ""name_fr"": ""chaise"", ""name_en"": ""chair"", ""x"": 0.55, ""y"": 0.75}, {""id"": 4, ""name_fr"": ""fenêtre"", ""name_en"": ""window"", ""x"": 0.85, ""y"": 0.35}]","[{""id"": 1, ""name_fr"": ""tableau"", ""name_en"": ""board"", ""x"": 0.5, ""y"": 0.25}, {""id"": 2, ""name_fr"": ""bureau"", ""name_en"": ""desk"", ""x"": 0.3, ""y"": 0.7}, {""id"": 3, ""name_fr"": ""chaise"", ""name_en"": ""chair"", ""x"": 0.55, ""y"": 0.75}, {""id"": 4, ""name_fr"": ""fenêtre"", ""name_en"": ""window"", ""x"": 0.85, ""y"": 0.35}]","[""tableau"", ""bureau"", ""chaise"", ""fenêtre"", ""livre"", ""crayon""]","[""board"", ""desk"", ""chair"", ""window"", ""book"", ""pencil""]","120","Easy","Vocabulary"
"IML008","Label the image","Étiquetez l'image","A2","fr","en","Park","Parc","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1519331379826-f10be5486c6f?w=800&q=80","[{""id"": 1, ""name_fr"": ""arbre"", ""name_en"": ""tree"", ""x"": 0.2, ""y"": 0.35}, {""id"": 2, ""name_fr"": ""banc"", ""name_en"": ""bench"", ""x"": 0.55, ""y"": 0.65}, {""id"": 3, ""name_fr"": ""herbe"", ""name_en"": ""grass"", ""x"": 0.5, ""y"": 0.85}, {""id"": 4, ""name_fr"": ""ciel"", ""name_en"": ""sky"", ""x"": 0.5, ""y"": 0.1}]","[{""id"": 1, ""name_fr"": ""arbre"", ""name_en"": ""tree"", ""x"": 0.2, ""y"": 0.35}, {""id"": 2, ""name_fr"": ""banc"", ""name_en"": ""bench"", ""x"": 0.55, ""y"": 0.65}, {""id"": 3, ""name_fr"": ""herbe"", ""name_en"": ""grass"", ""x"": 0.5, ""y"": 0.85}, {""id"": 4, ""name_fr"": ""ciel"", ""name_en"": ""sky"", ""x"": 0.5, ""y"": 0.1}]","[""arbre"", ""banc"", ""herbe"", ""ciel"", ""fleur"", ""allée""]","[""tree"", ""bench"", ""grass"", ""sky"", ""flower"", ""path""]","120","Easy","Vocabulary"
"IML009","Label the image","Étiquetez l'image","A2","fr","en","Supermarket","Supermarché","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1534723452862-4c874018d66d?w=800&q=80","[{""id"": 1, ""name_fr"": ""rayon"", ""name_en"": ""shelf"", ""x"": 0.25, ""y"": 0.45}, {""id"": 2, ""name_fr"": ""panier"", ""name_en"": ""basket"", ""x"": 0.65, ""y"": 0.7}, {""id"": 3, ""name_fr"": ""caisse"", ""name_en"": ""checkout"", ""x"": 0.8, ""y"": 0.55}, {""id"": 4, ""name_fr"": ""produit"", ""name_en"": ""product"", ""x"": 0.4, ""y"": 0.35}]","[{""id"": 1, ""name_fr"": ""rayon"", ""name_en"": ""shelf"", ""x"": 0.25, ""y"": 0.45}, {""id"": 2, ""name_fr"": ""panier"", ""name_en"": ""basket"", ""x"": 0.65, ""y"": 0.7}, {""id"": 3, ""name_fr"": ""caisse"", ""name_en"": ""checkout"", ""x"": 0.8, ""y"": 0.55}, {""id"": 4, ""name_fr"": ""produit"", ""name_en"": ""product"", ""x"": 0.4, ""y"": 0.35}]","[""rayon"", ""panier"", ""caisse"", ""produit"", ""chariot"", ""étiquette""]","[""shelf"", ""basket"", ""checkout"", ""product"", ""trolley"", ""label""]","120","Easy","Vocabulary"
"IML010","Label the image","Étiquetez l'image","A2","fr","en","Hospital Room","Chambre d'hôpital","Match each number with the correct label.","Associez chaque numéro à la bonne étiquette.","https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?w=800&q=80","[{""id"": 1, ""name_fr"": ""lit"", ""name_en"": ""bed"", ""x"": 0.45, ""y"": 0.55}, {""id"": 2, ""name_fr"": ""fenêtre"", ""name_en"": ""window"", ""x"": 0.8, ""y"": 0.3}, {""id"": 3, ""name_fr"": ""moniteur"", ""name_en"": ""monitor"", ""x"": 0.2, ""y"": 0.4}, {""id"": 4, ""name_fr"": ""porte"", ""name_en"": ""door"", ""x"": 0.08, ""y"": 0.55}]","[{""id"": 1, ""name_fr"": ""lit"", ""name_en"": ""bed"", ""x"": 0.45, ""y"": 0.55}, {""id"": 2, ""name_fr"": ""fenêtre"", ""name_en"": ""window"", ""x"": 0.8, ""y"": 0.3}, {""id"": 3, ""name_fr"": ""moniteur"", ""name_en"": ""monitor"", ""x"": 0.2, ""y"": 0.4}, {""id"": 4, ""name_fr"": ""porte"", ""name_en"": ""door"", ""x"": 0.08, ""y"": 0.55}]","[""lit"", ""fenêtre"", ""moniteur"", ""porte"", ""infirmier"", ""médicament""]","[""bed"", ""window"", ""monitor"", ""door"", ""nurse"", ""medicine""]","120","Easy","Vocabulary"
